 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.100323E-06    0.226653E+00   -0.152417E-24    0.815898E-24   -0.100000E+01    0.996781E+07    0.341591E-03    0.999658E+00
    0.100647E-06    0.226653E+00   -0.304848E-24    0.826487E-24   -0.100000E+01    0.993572E+07    0.342694E-03    0.999657E+00
    0.100972E-06    0.226653E+00   -0.457308E-24    0.837215E-24   -0.100000E+01    0.990374E+07    0.343800E-03    0.999656E+00
    0.101298E-06    0.226653E+00   -0.609810E-24    0.848081E-24   -0.100000E+01    0.987186E+07    0.344910E-03    0.999655E+00
    0.101625E-06    0.226653E+00   -0.762370E-24    0.859089E-24   -0.100000E+01    0.984008E+07    0.346024E-03    0.999654E+00
    0.101953E-06    0.226653E+00   -0.915000E-24    0.870240E-24   -0.100000E+01    0.980840E+07    0.347141E-03    0.999653E+00
    0.102283E-06    0.226653E+00   -0.106772E-23    0.881535E-24   -0.100000E+01    0.977683E+07    0.348262E-03    0.999652E+00
    0.102613E-06    0.226653E+00   -0.122053E-23    0.892977E-24   -0.100000E+01    0.974536E+07    0.349386E-03    0.999651E+00
    0.102944E-06    0.226653E+00   -0.137346E-23    0.904567E-24   -0.100000E+01    0.971399E+07    0.350514E-03    0.999649E+00
    0.103277E-06    0.226653E+00   -0.152652E-23    0.916308E-24   -0.100000E+01    0.968272E+07    0.351645E-03    0.999648E+00
    0.103610E-06    0.226653E+00   -0.167972E-23    0.928201E-24   -0.100000E+01    0.965155E+07    0.352781E-03    0.999647E+00
    0.103945E-06    0.226653E+00   -0.183308E-23    0.940248E-24   -0.100000E+01    0.962048E+07    0.353920E-03    0.999646E+00
    0.104281E-06    0.226653E+00   -0.198661E-23    0.952452E-24   -0.100000E+01    0.958951E+07    0.355062E-03    0.999645E+00
    0.104617E-06    0.226653E+00   -0.214033E-23    0.964814E-24   -0.100000E+01    0.955864E+07    0.356208E-03    0.999644E+00
    0.104955E-06    0.226653E+00   -0.229424E-23    0.977337E-24   -0.100000E+01    0.952787E+07    0.357358E-03    0.999643E+00
    0.105294E-06    0.226653E+00   -0.244837E-23    0.990022E-24   -0.100000E+01    0.949720E+07    0.358512E-03    0.999641E+00
    0.105634E-06    0.226653E+00   -0.260273E-23    0.100287E-23   -0.100000E+01    0.946663E+07    0.359669E-03    0.999640E+00
    0.105975E-06    0.226653E+00   -0.275733E-23    0.101589E-23   -0.100000E+01    0.943615E+07    0.360831E-03    0.999639E+00
    0.106318E-06    0.226653E+00   -0.291219E-23    0.102907E-23   -0.100000E+01    0.940578E+07    0.361995E-03    0.999638E+00
    0.106661E-06    0.226653E+00   -0.306733E-23    0.104243E-23   -0.100000E+01    0.937550E+07    0.363164E-03    0.999637E+00
    0.107005E-06    0.226653E+00   -0.322275E-23    0.105596E-23   -0.100000E+01    0.934532E+07    0.364336E-03    0.999636E+00
    0.107351E-06    0.226653E+00   -0.337847E-23    0.106967E-23   -0.100000E+01    0.931524E+07    0.365513E-03    0.999634E+00
    0.107698E-06    0.226653E+00   -0.353450E-23    0.108355E-23   -0.100000E+01    0.928525E+07    0.366693E-03    0.999633E+00
    0.108046E-06    0.226653E+00   -0.369087E-23    0.109761E-23   -0.100000E+01    0.925536E+07    0.367876E-03    0.999632E+00
    0.108394E-06    0.226653E+00   -0.384758E-23    0.111186E-23   -0.100000E+01    0.922557E+07    0.369064E-03    0.999631E+00
    0.108744E-06    0.226653E+00   -0.400466E-23    0.112629E-23   -0.100000E+01    0.919587E+07    0.370255E-03    0.999630E+00
    0.109096E-06    0.226653E+00   -0.416210E-23    0.114091E-23   -0.100000E+01    0.916627E+07    0.371451E-03    0.999629E+00
