 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.100323E-06    0.263271E+00   -0.183804E-24    0.845703E-24   -0.100000E+01    0.996781E+07    0.341591E-03    0.999658E+00
    0.100647E-06    0.263271E+00   -0.368213E-24    0.856680E-24   -0.100000E+01    0.993572E+07    0.342694E-03    0.999657E+00
    0.100972E-06    0.263271E+00   -0.553240E-24    0.867799E-24   -0.100000E+01    0.990374E+07    0.343800E-03    0.999656E+00
    0.101298E-06    0.263271E+00   -0.738899E-24    0.879063E-24   -0.100000E+01    0.987186E+07    0.344910E-03    0.999655E+00
    0.101625E-06    0.263271E+00   -0.925204E-24    0.890472E-24   -0.100000E+01    0.984008E+07    0.346024E-03    0.999654E+00
    0.101953E-06    0.263271E+00   -0.111217E-23    0.902030E-24   -0.100000E+01    0.980840E+07    0.347141E-03    0.999653E+00
    0.102283E-06    0.263271E+00   -0.129981E-23    0.913738E-24   -0.100000E+01    0.977683E+07    0.348262E-03    0.999652E+00
    0.102613E-06    0.263271E+00   -0.148813E-23    0.925598E-24   -0.100000E+01    0.974536E+07    0.349386E-03    0.999651E+00
    0.102944E-06    0.263271E+00   -0.167716E-23    0.937612E-24   -0.100000E+01    0.971399E+07    0.350514E-03    0.999649E+00
    0.103277E-06    0.263271E+00   -0.186690E-23    0.949781E-24   -0.100000E+01    0.968272E+07    0.351645E-03    0.999648E+00
    0.103610E-06    0.263271E+00   -0.205737E-23    0.962109E-24   -0.100000E+01    0.965155E+07    0.352781E-03    0.999647E+00
    0.103945E-06    0.263271E+00   -0.224858E-23    0.974596E-24   -0.100000E+01    0.962048E+07    0.353920E-03    0.999646E+00
    0.104281E-06    0.263271E+00   -0.244055E-23    0.987246E-24   -0.100000E+01    0.958951E+07    0.355062E-03    0.999645E+00
    0.104617E-06    0.263271E+00   -0.263329E-23    0.100006E-23   -0.100000E+01    0.955864E+07    0.356208E-03    0.999644E+00
    0.104955E-06    0.263271E+00   -0.282683E-23    0.101304E-23   -0.100000E+01    0.952787E+07    0.357358E-03    0.999643E+00
    0.105294E-06    0.263271E+00   -0.302116E-23    0.102619E-23   -0.100000E+01    0.949720E+07    0.358512E-03    0.999641E+00
    0.105634E-06    0.263271E+00   -0.321631E-23    0.103951E-23   -0.100000E+01    0.946663E+07    0.359669E-03    0.999640E+00
    0.105975E-06    0.263271E+00   -0.341228E-23    0.105300E-23   -0.100000E+01    0.943615E+07    0.360831E-03    0.999639E+00
    0.106318E-06    0.263271E+00   -0.360911E-23    0.106667E-23   -0.100000E+01    0.940578E+07    0.361995E-03    0.999638E+00
    0.106661E-06    0.263271E+00   -0.380680E-23    0.108051E-23   -0.100000E+01    0.937550E+07    0.363164E-03    0.999637E+00
    0.107005E-06    0.263271E+00   -0.400536E-23    0.109454E-23   -0.100000E+01    0.934532E+07    0.364336E-03    0.999636E+00
    0.107351E-06    0.263271E+00   -0.420481E-23    0.110874E-23   -0.100000E+01    0.931524E+07    0.365513E-03    0.999634E+00
    0.107698E-06    0.263271E+00   -0.440517E-23    0.112313E-23   -0.100000E+01    0.928525E+07    0.366693E-03    0.999633E+00
    0.108046E-06    0.263271E+00   -0.460646E-23    0.113771E-23   -0.100000E+01    0.925536E+07    0.367876E-03    0.999632E+00
    0.108394E-06    0.263271E+00   -0.480868E-23    0.115248E-23   -0.100000E+01    0.922557E+07    0.369064E-03    0.999631E+00
    0.108744E-06    0.263271E+00   -0.501185E-23    0.116744E-23   -0.100000E+01    0.919587E+07    0.370255E-03    0.999630E+00
    0.109096E-06    0.263271E+00   -0.521599E-23    0.118259E-23   -0.100000E+01    0.916627E+07    0.371451E-03    0.999629E+00
    0.109448E-06    0.263271E+00   -0.542112E-23    0.119794E-23   -0.100000E+01    0.913676E+07    0.372650E-03    0.999627E+00
    0.109801E-06    0.263271E+00   -0.562725E-23    0.121349E-23   -0.100000E+01    0.910735E+07    0.373853E-03    0.999626E+00
    0.110156E-06    0.263271E+00   -0.583439E-23    0.122924E-23   -0.100000E+01    0.907803E+07    0.375060E-03    0.999625E+00
    0.110512E-06    0.263271E+00   -0.604257E-23    0.124519E-23   -0.100000E+01    0.904881E+07    0.376271E-03    0.999624E+00
    0.110869E-06    0.263271E+00   -0.625180E-23    0.126135E-23   -0.100000E+01    0.901968E+07    0.377485E-03    0.999623E+00
    0.111227E-06    0.263271E+00   -0.646210E-23    0.127773E-23   -0.100000E+01    0.899064E+07    0.378704E-03    0.999621E+00
    0.111586E-06    0.263271E+00   -0.667347E-23    0.129431E-23   -0.100000E+01    0.896170E+07    0.379926E-03    0.999620E+00
    0.111946E-06    0.263271E+00   -0.688595E-23    0.131111E-23   -0.100000E+01    0.893285E+07    0.381153E-03    0.999619E+00
    0.112308E-06    0.263271E+00   -0.709954E-23    0.132813E-23   -0.100000E+01    0.890410E+07    0.382383E-03    0.999618E+00
    0.112671E-06    0.263271E+00   -0.731427E-23    0.134536E-23   -0.100000E+01    0.887543E+07    0.383618E-03    0.999616E+00
    0.113034E-06    0.263271E+00   -0.753015E-23    0.136283E-23   -0.100000E+01    0.884686E+07    0.384856E-03    0.999615E+00
    0.113399E-06    0.263271E+00   -0.774719E-23    0.138051E-23   -0.100000E+01    0.881839E+07    0.386099E-03    0.999614E+00
    0.113766E-06    0.263271E+00   -0.796542E-23    0.139843E-23   -0.100000E+01    0.879000E+07    0.387345E-03    0.999613E+00
    0.114133E-06    0.263271E+00   -0.818485E-23    0.141658E-23   -0.100000E+01    0.876170E+07    0.388595E-03    0.999611E+00
    0.114502E-06    0.263271E+00   -0.840550E-23    0.143497E-23   -0.100000E+01    0.873350E+07    0.389850E-03    0.999610E+00
    0.114871E-06    0.263271E+00   -0.862739E-23    0.145359E-23   -0.100000E+01    0.870538E+07    0.391108E-03    0.999609E+00
    0.115242E-06    0.263271E+00   -0.885054E-23    0.147246E-23   -0.100000E+01    0.867736E+07    0.392371E-03    0.999608E+00
    0.115615E-06    0.263271E+00   -0.907495E-23    0.149157E-23   -0.100000E+01    0.864943E+07    0.393638E-03    0.999606E+00
    0.115988E-06    0.263271E+00   -0.930066E-23    0.151093E-23   -0.100000E+01    0.862159E+07    0.394908E-03    0.999605E+00
    0.116363E-06    0.263271E+00   -0.952768E-23    0.153054E-23   -0.100000E+01    0.859383E+07    0.396183E-03    0.999604E+00
    0.116738E-06    0.263271E+00   -0.975603E-23    0.155041E-23   -0.100000E+01    0.856617E+07    0.397462E-03    0.999603E+00
    0.117115E-06    0.263271E+00   -0.998572E-23    0.157053E-23   -0.100000E+01    0.853859E+07    0.398745E-03    0.999601E+00
    0.117494E-06    0.263271E+00   -0.102168E-22    0.159092E-23   -0.100000E+01    0.851111E+07    0.400032E-03    0.999600E+00
    0.117873E-06    0.263271E+00   -0.104492E-22    0.161157E-23   -0.100000E+01    0.848371E+07    0.401324E-03    0.999599E+00
    0.118254E-06    0.263271E+00   -0.106831E-22    0.163248E-23   -0.100000E+01    0.845640E+07    0.402619E-03    0.999597E+00
    0.118636E-06    0.263271E+00   -0.109183E-22    0.165367E-23   -0.100000E+01    0.842918E+07    0.403919E-03    0.999596E+00
    0.119019E-06    0.263271E+00   -0.111551E-22    0.167513E-23   -0.100000E+01    0.840204E+07    0.405223E-03    0.999595E+00
    0.119403E-06    0.263271E+00   -0.113932E-22    0.169688E-23   -0.100000E+01    0.837500E+07    0.406531E-03    0.999593E+00
    0.119789E-06    0.263271E+00   -0.116329E-22    0.171890E-23   -0.100000E+01    0.834804E+07    0.407843E-03    0.999592E+00
    0.120176E-06    0.263271E+00   -0.118740E-22    0.174121E-23   -0.100000E+01    0.832116E+07    0.409160E-03    0.999591E+00
    0.120564E-06    0.263271E+00   -0.121167E-22    0.176381E-23   -0.100000E+01    0.829438E+07    0.410481E-03    0.999590E+00
    0.120953E-06    0.263271E+00   -0.123609E-22    0.178670E-23   -0.100000E+01    0.826768E+07    0.411806E-03    0.999588E+00
    0.121344E-06    0.263271E+00   -0.126067E-22    0.180989E-23   -0.100000E+01    0.824106E+07    0.413135E-03    0.999587E+00
    0.121735E-06    0.263271E+00   -0.128541E-22    0.183338E-23   -0.100000E+01    0.821453E+07    0.414469E-03    0.999586E+00
    0.122129E-06    0.263271E+00   -0.131030E-22    0.185718E-23   -0.100000E+01    0.818809E+07    0.415807E-03    0.999584E+00
    0.122523E-06    0.263271E+00   -0.133536E-22    0.188128E-23   -0.100000E+01    0.816173E+07    0.417149E-03    0.999583E+00
    0.122919E-06    0.263271E+00   -0.136058E-22    0.190570E-23   -0.100000E+01    0.813546E+07    0.418496E-03    0.999582E+00
    0.123316E-06    0.263271E+00   -0.138597E-22    0.193044E-23   -0.100000E+01    0.810927E+07    0.419847E-03    0.999580E+00
    0.123714E-06    0.263271E+00   -0.141153E-22    0.195549E-23   -0.100000E+01    0.808317E+07    0.421202E-03    0.999579E+00
    0.124113E-06    0.263271E+00   -0.143726E-22    0.198087E-23   -0.100000E+01    0.805715E+07    0.422562E-03    0.999577E+00
    0.124514E-06    0.263271E+00   -0.146316E-22    0.200658E-23   -0.100000E+01    0.803121E+07    0.423926E-03    0.999576E+00
    0.124916E-06    0.263271E+00   -0.148923E-22    0.203263E-23   -0.100000E+01    0.800536E+07    0.425294E-03    0.999575E+00
    0.125320E-06    0.263271E+00   -0.151549E-22    0.205901E-23   -0.100000E+01    0.797959E+07    0.426667E-03    0.999573E+00
    0.125724E-06    0.263271E+00   -0.154192E-22    0.208573E-23   -0.100000E+01    0.795390E+07    0.428044E-03    0.999572E+00
    0.126131E-06    0.263271E+00   -0.156853E-22    0.211280E-23   -0.100000E+01    0.792830E+07    0.429426E-03    0.999571E+00
    0.126538E-06    0.263271E+00   -0.159533E-22    0.214023E-23   -0.100000E+01    0.790277E+07    0.430812E-03    0.999569E+00
    0.126946E-06    0.263271E+00   -0.162232E-22    0.216801E-23   -0.100000E+01    0.787733E+07    0.432203E-03    0.999568E+00
    0.127356E-06    0.263271E+00   -0.164949E-22    0.219614E-23   -0.100000E+01    0.785198E+07    0.433598E-03    0.999566E+00
    0.127768E-06    0.263271E+00   -0.167685E-22    0.222465E-23   -0.100000E+01    0.782670E+07    0.434998E-03    0.999565E+00
    0.128180E-06    0.263271E+00   -0.170441E-22    0.225352E-23   -0.100000E+01    0.780151E+07    0.436402E-03    0.999564E+00
    0.128594E-06    0.263271E+00   -0.173216E-22    0.228277E-23   -0.100000E+01    0.777639E+07    0.437811E-03    0.999562E+00
    0.129010E-06    0.263271E+00   -0.176011E-22    0.231240E-23   -0.100000E+01    0.775136E+07    0.439224E-03    0.999561E+00
    0.129426E-06    0.263271E+00   -0.178826E-22    0.234241E-23   -0.100000E+01    0.772641E+07    0.440642E-03    0.999559E+00
    0.129844E-06    0.263271E+00   -0.181661E-22    0.237281E-23   -0.100000E+01    0.770154E+07    0.442064E-03    0.999558E+00
    0.130264E-06    0.263271E+00   -0.184517E-22    0.240361E-23   -0.100000E+01    0.767674E+07    0.443491E-03    0.999557E+00
    0.130684E-06    0.263271E+00   -0.187394E-22    0.243481E-23   -0.100000E+01    0.765203E+07    0.444923E-03    0.999555E+00
    0.131106E-06    0.263271E+00   -0.190291E-22    0.246641E-23   -0.100000E+01    0.762740E+07    0.446359E-03    0.999554E+00
    0.131530E-06    0.263271E+00   -0.193210E-22    0.249842E-23   -0.100000E+01    0.760285E+07    0.447800E-03    0.999552E+00
    0.131954E-06    0.263271E+00   -0.196150E-22    0.253085E-23   -0.100000E+01    0.757837E+07    0.449246E-03    0.999551E+00
    0.132381E-06    0.263271E+00   -0.199112E-22    0.256370E-23   -0.100000E+01    0.755398E+07    0.450696E-03    0.999549E+00
