 a		phi		phidot		fde
    0.100323E-06    0.155000E+00   -0.231784-143    0.870391-144
    0.100647E-06    0.155000E+00   -0.464330-143    0.881689-144
    0.100972E-06    0.155000E+00   -0.697657-143    0.893132-144
    0.101298E-06    0.155000E+00   -0.931781-143    0.904725-144
    0.101625E-06    0.155000E+00   -0.116672-142    0.916468-144
    0.101953E-06    0.155000E+00   -0.140249-142    0.928363-144
    0.102283E-06    0.155000E+00   -0.163911-142    0.940413-144
    0.102613E-06    0.155000E+00   -0.187659-142    0.952619-144
    0.102944E-06    0.155000E+00   -0.211496-142    0.964983-144
    0.103277E-06    0.155000E+00   -0.235423-142    0.977508-144
    0.103610E-06    0.155000E+00   -0.259442-142    0.990196-144
    0.103945E-06    0.155000E+00   -0.283555-142    0.100305-143
    0.104281E-06    0.155000E+00   -0.307763-142    0.101607-143
    0.104617E-06    0.155000E+00   -0.332069-142    0.102926-143
    0.104955E-06    0.155000E+00   -0.356474-142    0.104261-143
    0.105294E-06    0.155000E+00   -0.380980-142    0.105615-143
    0.105634E-06    0.155000E+00   -0.405589-142    0.106986-143
    0.105975E-06    0.155000E+00   -0.430303-142    0.108374-143
    0.106318E-06    0.155000E+00   -0.455123-142    0.109781-143
    0.106661E-06    0.155000E+00   -0.480052-142    0.111206-143
    0.107005E-06    0.155000E+00   -0.505091-142    0.112649-143
    0.107351E-06    0.155000E+00   -0.530243-142    0.114111-143
    0.107698E-06    0.155000E+00   -0.555510-142    0.115592-143
    0.108046E-06    0.155000E+00   -0.580892-142    0.117093-143
    0.108394E-06    0.155000E+00   -0.606393-142    0.118612-143
    0.108744E-06    0.155000E+00   -0.632014-142    0.120152-143
    0.109096E-06    0.155000E+00   -0.657757-142    0.121711-143
    0.109448E-06    0.155000E+00   -0.683625-142    0.123291-143
    0.109801E-06    0.155000E+00   -0.709618-142    0.124891-143
    0.110156E-06    0.155000E+00   -0.735740-142    0.126512-143
    0.110512E-06    0.155000E+00   -0.761992-142    0.128155-143
    0.110869E-06    0.155000E+00   -0.788377-142    0.129818-143
    0.111227E-06    0.155000E+00   -0.814896-142    0.131503-143
    0.111586E-06    0.155000E+00   -0.841552-142    0.133210-143
    0.111946E-06    0.155000E+00   -0.868346-142    0.134939-143
    0.112308E-06    0.155000E+00   -0.895281-142    0.136690-143
    0.112671E-06    0.155000E+00   -0.922359-142    0.138464-143
    0.113034E-06    0.155000E+00   -0.949582-142    0.140261-143
    0.113399E-06    0.155000E+00   -0.976952-142    0.142082-143
    0.113766E-06    0.155000E+00   -0.100447-141    0.143926-143
    0.114133E-06    0.155000E+00   -0.103214-141    0.145794-143
    0.114502E-06    0.155000E+00   -0.105997-141    0.147686-143
    0.114871E-06    0.155000E+00   -0.108795-141    0.149603-143
    0.115242E-06    0.155000E+00   -0.111609-141    0.151545-143
    0.115615E-06    0.155000E+00   -0.114439-141    0.153512-143
    0.115988E-06    0.155000E+00   -0.117285-141    0.155505-143
    0.116363E-06    0.155000E+00   -0.120148-141    0.157523-143
    0.116738E-06    0.155000E+00   -0.123027-141    0.159567-143
    0.117115E-06    0.155000E+00   -0.125924-141    0.161639-143
    0.117494E-06    0.155000E+00   -0.128838-141    0.163736-143
    0.117873E-06    0.155000E+00   -0.131769-141    0.165862-143
    0.118254E-06    0.155000E+00   -0.134718-141    0.168014-143
