 initial_phi	Omega_de
   0.267949E+00   0.306910+120
   0.110000E-19   0.306910+120
   0.120000E-19   0.306910+120
   0.130000E-19   0.306910+120
   0.140000E-19   0.306910+120
   0.150000E-19   0.306910+120
   0.160000E-19   0.306910+120
   0.170000E-19   0.306910+120
   0.180000E-19   0.306910+120
   0.190000E-19   0.306910+120
   0.200000E-19   0.306910+120
   0.210000E-19   0.306910+120
   0.220000E-19   0.306910+120
   0.230000E-19   0.306910+120
   0.240000E-19   0.306910+120
   0.250000E-19   0.306910+120
   0.260000E-19   0.306910+120
   0.270000E-19   0.306910+120
   0.280000E-19   0.306910+120
   0.290000E-19   0.306910+120
   0.300000E-19   0.306910+120
   0.310000E-19   0.306910+120
   0.320000E-19   0.306910+120
   0.330000E-19   0.306910+120
   0.340000E-19   0.306910+120
   0.350000E-19   0.306910+120
   0.360000E-19   0.306910+120
   0.370000E-19   0.306910+120
   0.380000E-19   0.306910+120
   0.390000E-19   0.306910+120
   0.400000E-19   0.306910+120
   0.410000E-19   0.306910+120
   0.420000E-19   0.306910+120
   0.430000E-19   0.306910+120
   0.440000E-19   0.306910+120
   0.450000E-19   0.306910+120
   0.460000E-19   0.306910+120
   0.470000E-19   0.306910+120
   0.480000E-19   0.306910+120
   0.490000E-19   0.306910+120
   0.500000E-19   0.306910+120
   0.510000E-19   0.306910+120
   0.520000E-19   0.306910+120
   0.530000E-19   0.306910+120
   0.540000E-19   0.306910+120
   0.550000E-19   0.306910+120
   0.560000E-19   0.306910+120
   0.570000E-19   0.306910+120
   0.580000E-19   0.306910+120
   0.590000E-19   0.306910+120
   0.600000E-19   0.306910+120
   0.610000E-19   0.306910+120
   0.620000E-19   0.306910+120
   0.630000E-19   0.306910+120
   0.640000E-19   0.306910+120
   0.650000E-19   0.306910+120
   0.660000E-19   0.306910+120
   0.670000E-19   0.306910+120
   0.680000E-19   0.306910+120
   0.690000E-19   0.306910+120
   0.700000E-19   0.306910+120
   0.710000E-19   0.306910+120
   0.720000E-19   0.306910+120
   0.730000E-19   0.306910+120
   0.740000E-19   0.306910+120
   0.750000E-19   0.306910+120
   0.760000E-19   0.306910+120
   0.770000E-19   0.306910+120
   0.780000E-19   0.306910+120
