#    L    TT             EE             BB             TE          
     2   0.102892E+04   0.309898E-01   0.175258E-05   0.259196E+01
     3   0.976122E+03   0.397604E-01   0.350562E-05   0.291352E+01
     4   0.923650E+03   0.344306E-01   0.584370E-05   0.274101E+01
     5   0.883925E+03   0.229516E-01   0.876742E-05   0.234100E+01
     6   0.856535E+03   0.128294E-01   0.122775E-04   0.189038E+01
     7   0.838940E+03   0.694189E-02   0.163748E-04   0.148849E+01
     8   0.828197E+03   0.448892E-02   0.210604E-04   0.117912E+01
     9   0.822918E+03   0.360202E-02   0.263353E-04   0.968655E+00
    10   0.821645E+03   0.306735E-02   0.322008E-04   0.849673E+00
    11   0.822975E+03   0.258554E-02   0.386582E-04   0.805044E+00
    12   0.827635E+03   0.227260E-02   0.457089E-04   0.815932E+00
    13   0.833699E+03   0.219599E-02   0.533544E-04   0.858320E+00
    14   0.840981E+03   0.229122E-02   0.615964E-04   0.911353E+00
    15   0.848430E+03   0.247815E-02   0.704364E-04   0.968029E+00
    16   0.857807E+03   0.274115E-02   0.798761E-04   0.102966E+01
    17   0.868961E+03   0.312328E-02   0.899172E-04   0.109358E+01
    18   0.880753E+03   0.366728E-02   0.100562E-03   0.115846E+01
    19   0.893935E+03   0.437496E-02   0.111811E-03   0.122737E+01
    20   0.906886E+03   0.522236E-02   0.123667E-03   0.129523E+01
    21   0.920301E+03   0.620393E-02   0.136131E-03   0.136686E+01
    22   0.934208E+03   0.733176E-02   0.149206E-03   0.144281E+01
    23   0.948220E+03   0.859773E-02   0.162892E-03   0.152003E+01
    24   0.962654E+03   0.999853E-02   0.177192E-03   0.159473E+01
    25   0.977641E+03   0.115393E-01   0.192107E-03   0.165940E+01
    26   0.992688E+03   0.132330E-01   0.207638E-03   0.171802E+01
    27   0.100820E+04   0.150907E-01   0.223787E-03   0.177133E+01
    28   0.102402E+04   0.171066E-01   0.240555E-03   0.181443E+01
    29   0.104005E+04   0.193078E-01   0.257944E-03   0.185251E+01
    30   0.105651E+04   0.217229E-01   0.275954E-03   0.187906E+01
    31   0.107276E+04   0.243464E-01   0.294587E-03   0.190472E+01
    32   0.108962E+04   0.271926E-01   0.313843E-03   0.192423E+01
    33   0.110657E+04   0.302227E-01   0.333723E-03   0.193596E+01
    34   0.112358E+04   0.334638E-01   0.354229E-03   0.194096E+01
