#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.102892E+04   0.309880E-01   0.000000E+00   0.259196E+01   0.494204E-07   0.304738E-02  -0.122116E-04
     3   0.976116E+03   0.397569E-01   0.000000E+00   0.291352E+01   0.601073E-07   0.306459E-02  -0.130795E-04
     4   0.923639E+03   0.344248E-01   0.000000E+00   0.274101E+01   0.692369E-07   0.299767E-02  -0.110314E-04
     5   0.883908E+03   0.229429E-01   0.000000E+00   0.234100E+01   0.771583E-07   0.289925E-02  -0.746322E-05
     6   0.856513E+03   0.128172E-01   0.000000E+00   0.189039E+01   0.840748E-07   0.279190E-02  -0.355604E-05
     7   0.838910E+03   0.692551E-02   0.000000E+00   0.148849E+01   0.901667E-07   0.268632E-02  -0.211688E-06
     8   0.828158E+03   0.446786E-02   0.000000E+00   0.117913E+01   0.955595E-07   0.258325E-02   0.199932E-05
     9   0.822869E+03   0.357569E-02   0.000000E+00   0.968661E+00   0.100360E-06   0.248158E-02   0.288361E-05
    10   0.821586E+03   0.303515E-02   0.000000E+00   0.849683E+00   0.104638E-06   0.238334E-02   0.263637E-05
    11   0.822905E+03   0.254689E-02   0.000000E+00   0.805058E+00   0.108484E-06   0.229302E-02   0.171026E-05
    12   0.827552E+03   0.222689E-02   0.000000E+00   0.815951E+00   0.111903E-06   0.220978E-02   0.571046E-06
    13   0.833603E+03   0.214264E-02   0.000000E+00   0.858346E+00   0.114995E-06   0.213631E-02  -0.455931E-06
    14   0.840871E+03   0.222963E-02   0.000000E+00   0.911387E+00   0.117749E-06   0.206517E-02  -0.117660E-05
    15   0.848305E+03   0.240773E-02   0.000000E+00   0.968073E+00   0.120238E-06   0.199685E-02  -0.146299E-05
    16   0.857665E+03   0.266129E-02   0.000000E+00   0.102972E+01   0.122466E-06   0.192876E-02  -0.126013E-05
    17   0.868802E+03   0.303339E-02   0.000000E+00   0.109365E+01   0.124459E-06   0.186265E-02  -0.754524E-06
    18   0.880577E+03   0.356676E-02   0.000000E+00   0.115855E+01   0.126253E-06   0.180111E-02  -0.188544E-06
    19   0.893741E+03   0.426320E-02   0.000000E+00   0.122748E+01   0.127856E-06   0.174388E-02   0.197092E-06
    20   0.906673E+03   0.509876E-02   0.000000E+00   0.129536E+01   0.129276E-06   0.169010E-02   0.235491E-06
    21   0.920068E+03   0.606790E-02   0.000000E+00   0.136701E+01   0.130535E-06   0.163916E-02   0.445378E-07
    22   0.933955E+03   0.718268E-02   0.000000E+00   0.144300E+01   0.131654E-06   0.159062E-02  -0.209641E-06
