#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105297E-04   0.196894E+08   0.196894E+08   0.262388E+08   0.262385E+08   0.196916E+08   0.196894E+08   0.196894E+08   0.196160E+08  -0.476201E+00   0.103836E+08   0.103836E+08   0.515467E+01
   0.116264E-04   0.196894E+08   0.196894E+08   0.262358E+08   0.262354E+08   0.196916E+08   0.196894E+08   0.196894E+08   0.196160E+08  -0.476201E+00   0.103836E+08   0.103836E+08   0.569137E+01
   0.128374E-04   0.196894E+08   0.196894E+08   0.262321E+08   0.262317E+08   0.196916E+08   0.196894E+08   0.196894E+08   0.196160E+08  -0.476200E+00   0.103836E+08   0.103836E+08   0.628391E+01
   0.141745E-04   0.196894E+08   0.196894E+08   0.262276E+08   0.262271E+08   0.196916E+08   0.196894E+08   0.196894E+08   0.196160E+08  -0.476200E+00   0.103836E+08   0.103836E+08   0.693807E+01
   0.156508E-04   0.196894E+08   0.196894E+08   0.262222E+08   0.262215E+08   0.196915E+08   0.196894E+08   0.196894E+08   0.196160E+08  -0.476199E+00   0.103836E+08   0.103836E+08   0.766025E+01
   0.172810E-04   0.196894E+08   0.196894E+08   0.262155E+08   0.262147E+08   0.196915E+08   0.196894E+08   0.196894E+08   0.196159E+08  -0.476199E+00   0.103836E+08   0.103836E+08   0.845749E+01
   0.190809E-04   0.196893E+08   0.196893E+08   0.262074E+08   0.262064E+08   0.196915E+08   0.196894E+08   0.196893E+08   0.196159E+08  -0.476198E+00   0.103836E+08   0.103836E+08   0.933754E+01
   0.210683E-04   0.196893E+08   0.196893E+08   0.261975E+08   0.261963E+08   0.196914E+08   0.196893E+08   0.196893E+08   0.196159E+08  -0.476196E+00   0.103835E+08   0.103835E+08   0.103090E+02
   0.232626E-04   0.196893E+08   0.196893E+08   0.261854E+08   0.261840E+08   0.196914E+08   0.196893E+08   0.196893E+08   0.196159E+08  -0.476195E+00   0.103835E+08   0.103835E+08   0.113812E+02
   0.256856E-04   0.196893E+08   0.196893E+08   0.261707E+08   0.261690E+08   0.196913E+08   0.196893E+08   0.196893E+08   0.196158E+08  -0.476193E+00   0.103835E+08   0.103835E+08   0.125646E+02
   0.283609E-04   0.196892E+08   0.196892E+08   0.261528E+08   0.261507E+08   0.196912E+08   0.196892E+08   0.196892E+08   0.196158E+08  -0.476191E+00   0.103835E+08   0.103835E+08   0.138705E+02
   0.313149E-04   0.196892E+08   0.196892E+08   0.261310E+08   0.261284E+08   0.196911E+08   0.196892E+08   0.196892E+08   0.196157E+08  -0.476189E+00   0.103835E+08   0.103835E+08   0.153114E+02
   0.345765E-04   0.196891E+08   0.196891E+08   0.261044E+08   0.261012E+08   0.196909E+08   0.196891E+08   0.196891E+08   0.196157E+08  -0.476186E+00   0.103834E+08   0.103834E+08   0.169012E+02
   0.381779E-04   0.196890E+08   0.196890E+08   0.260720E+08   0.260681E+08   0.196908E+08   0.196891E+08   0.196890E+08   0.196156E+08  -0.476182E+00   0.103834E+08   0.103834E+08   0.186548E+02
   0.421543E-04   0.196890E+08   0.196889E+08   0.260326E+08   0.260279E+08   0.196906E+08   0.196890E+08   0.196890E+08   0.196155E+08  -0.476177E+00   0.103833E+08   0.103833E+08   0.205888E+02
   0.465450E-04   0.196888E+08   0.196888E+08   0.259846E+08   0.259788E+08   0.196903E+08   0.196889E+08   0.196888E+08   0.196153E+08  -0.476172E+00   0.103833E+08   0.103833E+08   0.227210E+02
   0.513929E-04   0.196887E+08   0.196887E+08   0.259262E+08   0.259192E+08   0.196900E+08   0.196887E+08   0.196887E+08   0.196152E+08  -0.476165E+00   0.103832E+08   0.103832E+08   0.250712E+02
   0.567458E-04   0.196886E+08   0.196885E+08   0.258552E+08   0.258467E+08   0.196897E+08   0.196886E+08   0.196886E+08   0.196150E+08  -0.476157E+00   0.103831E+08   0.103831E+08   0.276604E+02
   0.626562E-04   0.196884E+08   0.196883E+08   0.257688E+08   0.257585E+08   0.196892E+08   0.196884E+08   0.196884E+08   0.196148E+08  -0.476147E+00   0.103830E+08   0.103830E+08   0.305118E+02
   0.691823E-04   0.196881E+08   0.196881E+08   0.256639E+08   0.256513E+08   0.196887E+08   0.196881E+08   0.196881E+08   0.196145E+08  -0.476134E+00   0.103828E+08   0.103828E+08   0.336499E+02
   0.763880E-04   0.196878E+08   0.196878E+08   0.255365E+08   0.255212E+08   0.196881E+08   0.196878E+08   0.196878E+08   0.196142E+08  -0.476119E+00   0.103827E+08   0.103827E+08   0.371012E+02
   0.843443E-04   0.196875E+08   0.196875E+08   0.253820E+08   0.253634E+08   0.196873E+08   0.196875E+08   0.196875E+08   0.196138E+08  -0.476101E+00   0.103825E+08   0.103825E+08   0.408935E+02
   0.931293E-04   0.196870E+08   0.196870E+08   0.251948E+08   0.251723E+08   0.196863E+08   0.196870E+08   0.196870E+08   0.196133E+08  -0.476079E+00   0.103822E+08   0.103822E+08   0.450562E+02
   0.102829E-03   0.196865E+08   0.196865E+08   0.249683E+08   0.249410E+08   0.196851E+08   0.196865E+08   0.196865E+08   0.196127E+08  -0.476052E+00   0.103819E+08   0.103819E+08   0.496194E+02
   0.113540E-03   0.196859E+08   0.196858E+08   0.246946E+08   0.246617E+08   0.196837E+08   0.196859E+08   0.196859E+08   0.196119E+08  -0.476019E+00   0.103816E+08   0.103815E+08   0.546137E+02
   0.125365E-03   0.196851E+08   0.196850E+08   0.243648E+08   0.243251E+08   0.196819E+08   0.196851E+08   0.196851E+08   0.196111E+08  -0.475979E+00   0.103811E+08   0.103811E+08   0.600692E+02
   0.138423E-03   0.196842E+08   0.196841E+08   0.239682E+08   0.239204E+08   0.196798E+08   0.196841E+08   0.196842E+08   0.196100E+08  -0.475931E+00   0.103806E+08   0.103805E+08   0.660140E+02
   0.152841E-03   0.196830E+08   0.196829E+08   0.234927E+08   0.234353E+08   0.196772E+08   0.196830E+08   0.196830E+08   0.196087E+08  -0.475872E+00   0.103799E+08   0.103799E+08   0.724731E+02
   0.168760E-03   0.196816E+08   0.196815E+08   0.229248E+08   0.228562E+08   0.196740E+08   0.196816E+08   0.196816E+08   0.196071E+08  -0.475801E+00   0.103791E+08   0.103791E+08   0.794655E+02
   0.186337E-03   0.196799E+08   0.196798E+08   0.222496E+08   0.221679E+08   0.196702E+08   0.196799E+08   0.196799E+08   0.196052E+08  -0.475715E+00   0.103781E+08   0.103781E+08   0.870015E+02
   0.205746E-03   0.196779E+08   0.196777E+08   0.214515E+08   0.213546E+08   0.196655E+08   0.196778E+08   0.196778E+08   0.196028E+08  -0.475610E+00   0.103769E+08   0.103769E+08   0.950787E+02
   0.227175E-03   0.196754E+08   0.196752E+08   0.205144E+08   0.204003E+08   0.196598E+08   0.196753E+08   0.196753E+08   0.196000E+08  -0.475485E+00   0.103755E+08   0.103754E+08   0.103677E+03
   0.250837E-03   0.196723E+08   0.196721E+08   0.194235E+08   0.192902E+08   0.196529E+08   0.196722E+08   0.196723E+08   0.195966E+08  -0.475333E+00   0.103738E+08   0.103737E+08   0.112751E+03
   0.276963E-03   0.196687E+08   0.196684E+08   0.181668E+08   0.180126E+08   0.196445E+08   0.196685E+08   0.196686E+08   0.195926E+08  -0.475151E+00   0.103717E+08   0.103716E+08   0.122228E+03
   0.305811E-03   0.196642E+08   0.196639E+08   0.167378E+08   0.165614E+08   0.196343E+08   0.196640E+08   0.196642E+08   0.195877E+08  -0.474933E+00   0.103691E+08   0.103690E+08   0.131990E+03
   0.337663E-03   0.196589E+08   0.196585E+08   0.151388E+08   0.149401E+08   0.196219E+08   0.196587E+08   0.196588E+08   0.195819E+08  -0.474673E+00   0.103661E+08   0.103659E+08   0.141874E+03
   0.372832E-03   0.196525E+08   0.196520E+08   0.133853E+08   0.131654E+08   0.196070E+08   0.196522E+08   0.196524E+08   0.195750E+08  -0.474364E+00   0.103624E+08   0.103622E+08   0.151661E+03
   0.411665E-03   0.196447E+08   0.196442E+08   0.115102E+08   0.112724E+08   0.195889E+08   0.196444E+08   0.196447E+08   0.195668E+08  -0.473999E+00   0.103580E+08   0.103578E+08   0.161068E+03
