#    L    TT             EE             BB             TE          
     2   0.544448E+03   0.191151E-01   0.310215E-01   0.640110E+00
     3   0.424518E+03   0.232116E-01   0.345332E-01  -0.195422E+00
     4   0.392038E+03   0.234911E-01   0.326936E-01  -0.463292E+00
     5   0.378268E+03   0.205134E-01   0.276532E-01  -0.530818E+00
     6   0.371734E+03   0.159922E-01   0.214948E-01  -0.511109E+00
     7   0.368958E+03   0.114417E-01   0.157062E-01  -0.459881E+00
     8   0.368040E+03   0.783221E-02   0.110753E-01  -0.406886E+00
     9   0.368242E+03   0.549234E-02   0.783195E-02  -0.364894E+00
    10   0.369192E+03   0.433689E-02   0.587583E-02  -0.333979E+00
    11   0.370269E+03   0.407488E-02   0.494845E-02  -0.317240E+00
    12   0.370894E+03   0.439858E-02   0.477028E-02  -0.314512E+00
    13   0.371147E+03   0.501505E-02   0.508285E-02  -0.317988E+00
    14   0.371353E+03   0.580373E-02   0.569585E-02  -0.333493E+00
    15   0.372040E+03   0.667347E-02   0.647983E-02  -0.354648E+00
    16   0.373016E+03   0.758613E-02   0.735758E-02  -0.382669E+00
    17   0.373870E+03   0.853710E-02   0.829176E-02  -0.417043E+00
    18   0.374271E+03   0.952644E-02   0.925765E-02  -0.456038E+00
    19   0.374213E+03   0.105534E-01   0.102498E-01  -0.498365E+00
    20   0.373773E+03   0.116170E-01   0.112675E-01  -0.543153E+00
    21   0.373023E+03   0.127164E-01   0.123086E-01  -0.590782E+00
    22   0.372027E+03   0.138504E-01   0.133712E-01  -0.641713E+00
    23   0.370808E+03   0.150152E-01   0.144537E-01  -0.695482E+00
    24   0.369379E+03   0.162072E-01   0.155543E-01  -0.751477E+00
    25   0.367755E+03   0.174241E-01   0.166704E-01  -0.809423E+00
    26   0.365952E+03   0.186636E-01   0.177999E-01  -0.869031E+00
    27   0.363981E+03   0.199198E-01   0.189435E-01  -0.929627E+00
    28   0.361853E+03   0.211902E-01   0.201023E-01  -0.990702E+00
    29   0.359560E+03   0.224878E-01   0.212761E-01  -0.105280E+01
    30   0.357100E+03   0.238258E-01   0.224643E-01  -0.111647E+01
    31   0.354498E+03   0.252011E-01   0.236658E-01  -0.118126E+01
    32   0.351775E+03   0.266057E-01   0.248791E-01  -0.124654E+01
    33   0.348922E+03   0.280274E-01   0.261033E-01  -0.131200E+01
    34   0.345927E+03   0.294564E-01   0.273368E-01  -0.137745E+01
    35   0.342802E+03   0.308985E-01   0.285752E-01  -0.144275E+01
    36   0.339564E+03   0.323614E-01   0.298149E-01  -0.150773E+01
    37   0.336223E+03   0.338455E-01   0.310582E-01  -0.157216E+01
    38   0.332780E+03   0.353489E-01   0.323072E-01  -0.163578E+01
    39   0.329239E+03   0.368678E-01   0.335587E-01  -0.169857E+01
    40   0.325600E+03   0.383982E-01   0.348081E-01  -0.176049E+01
    41   0.321863E+03   0.399363E-01   0.360513E-01  -0.182153E+01
    42   0.318034E+03   0.414808E-01   0.372868E-01  -0.188158E+01
    43   0.314119E+03   0.430311E-01   0.385135E-01  -0.194053E+01
    44   0.310122E+03   0.445865E-01   0.397301E-01  -0.199828E+01
    45   0.306050E+03   0.461464E-01   0.409357E-01  -0.205469E+01
    46   0.301907E+03   0.477098E-01   0.421291E-01  -0.210967E+01
    47   0.297698E+03   0.492752E-01   0.433085E-01  -0.216310E+01
    48   0.293428E+03   0.508407E-01   0.444722E-01  -0.221490E+01
    49   0.289102E+03   0.524047E-01   0.456185E-01  -0.226496E+01
    50   0.284724E+03   0.539652E-01   0.467457E-01  -0.231318E+01
    51   0.280299E+03   0.555205E-01   0.478520E-01  -0.235948E+01
    52   0.275830E+03   0.570688E-01   0.489366E-01  -0.240382E+01
    53   0.271323E+03   0.586083E-01   0.499986E-01  -0.244617E+01
    54   0.266781E+03   0.601374E-01   0.510372E-01  -0.248651E+01
    55   0.262208E+03   0.616541E-01   0.520514E-01  -0.252480E+01
    56   0.257608E+03   0.631570E-01   0.530404E-01  -0.256101E+01
    57   0.252985E+03   0.646453E-01   0.540031E-01  -0.259509E+01
    58   0.248341E+03   0.661184E-01   0.549385E-01  -0.262699E+01
    59   0.243679E+03   0.675759E-01   0.558454E-01  -0.265664E+01
    60   0.239002E+03   0.690172E-01   0.567227E-01  -0.268400E+01
    61   0.234314E+03   0.704415E-01   0.575695E-01  -0.270902E+01
    62   0.229618E+03   0.718476E-01   0.583851E-01  -0.273172E+01
    63   0.224921E+03   0.732339E-01   0.591692E-01  -0.275217E+01
    64   0.220226E+03   0.745991E-01   0.599213E-01  -0.277041E+01
    65   0.215540E+03   0.759415E-01   0.606411E-01  -0.278649E+01
    66   0.210866E+03   0.772598E-01   0.613280E-01  -0.280044E+01
    67   0.206208E+03   0.785520E-01   0.619815E-01  -0.281221E+01
    68   0.201565E+03   0.798163E-01   0.626011E-01  -0.282172E+01
    69   0.196941E+03   0.810511E-01   0.631861E-01  -0.282891E+01
    70   0.192336E+03   0.822543E-01   0.637360E-01  -0.283371E+01
    71   0.187753E+03   0.834247E-01   0.642504E-01  -0.283609E+01
    72   0.183196E+03   0.845633E-01   0.647291E-01  -0.283617E+01
    73   0.178667E+03   0.856716E-01   0.651725E-01  -0.283409E+01
    74   0.174171E+03   0.867510E-01   0.655807E-01  -0.283003E+01
    75   0.169713E+03   0.878031E-01   0.659538E-01  -0.282413E+01
    76   0.165295E+03   0.888283E-01   0.662920E-01  -0.281652E+01
    77   0.160919E+03   0.898239E-01   0.665953E-01  -0.280714E+01
    78   0.156586E+03   0.907858E-01   0.668637E-01  -0.279589E+01
    79   0.152298E+03   0.917102E-01   0.670972E-01  -0.278267E+01
    80   0.148055E+03   0.925932E-01   0.672958E-01  -0.276739E+01
    81   0.143859E+03   0.934319E-01   0.674596E-01  -0.274999E+01
    82   0.139712E+03   0.942270E-01   0.675887E-01  -0.273057E+01
    83   0.135617E+03   0.949799E-01   0.676832E-01  -0.270927E+01
    84   0.131577E+03   0.956924E-01   0.677434E-01  -0.268623E+01
    85   0.127593E+03   0.963659E-01   0.677694E-01  -0.266159E+01
    86   0.123669E+03   0.970017E-01   0.677615E-01  -0.263547E+01
    87   0.119806E+03   0.975987E-01   0.677201E-01  -0.260792E+01
    88   0.116006E+03   0.981559E-01   0.676455E-01  -0.257895E+01
    89   0.112269E+03   0.986719E-01   0.675381E-01  -0.254861E+01
    90   0.108597E+03   0.991454E-01   0.673983E-01  -0.251690E+01
    91   0.104991E+03   0.995753E-01   0.672267E-01  -0.248387E+01
    92   0.101451E+03   0.999618E-01   0.670239E-01  -0.244956E+01
    93   0.979789E+02   0.100305E+00   0.667908E-01  -0.241404E+01
    94   0.945736E+02   0.100606E+00   0.665281E-01  -0.237737E+01
    95   0.912359E+02   0.100864E+00   0.662367E-01  -0.233959E+01
    96   0.879661E+02   0.101080E+00   0.659174E-01  -0.230078E+01
    97   0.847644E+02   0.101254E+00   0.655711E-01  -0.226100E+01
    98   0.816313E+02   0.101387E+00   0.651984E-01  -0.222029E+01
    99   0.785670E+02   0.101479E+00   0.648002E-01  -0.217873E+01
   100   0.755719E+02   0.101530E+00   0.643774E-01  -0.213636E+01
   101   0.726462E+02   0.101540E+00   0.639307E-01  -0.209326E+01
   102   0.697904E+02   0.101510E+00   0.634610E-01  -0.204947E+01
   103   0.670047E+02   0.101441E+00   0.629691E-01  -0.200506E+01
   104   0.642894E+02   0.101332E+00   0.624557E-01  -0.196009E+01
   105   0.616450E+02   0.101184E+00   0.619217E-01  -0.191462E+01
