#    L    TT             EE             BB             TE          
     2   0.104316E+04   0.311566E-01   0.174707E-05   0.257246E+01
     3   0.987776E+03   0.398503E-01   0.349459E-05   0.290510E+01
     4   0.932792E+03   0.343730E-01   0.582531E-05   0.273715E+01
     5   0.891195E+03   0.228184E-01   0.873982E-05   0.233791E+01
     6   0.862468E+03   0.127142E-01   0.122389E-04   0.188700E+01
     7   0.843909E+03   0.688237E-02   0.163233E-04   0.148510E+01
     8   0.832452E+03   0.446891E-02   0.209941E-04   0.117609E+01
     9   0.826630E+03   0.359226E-02   0.262523E-04   0.966527E+00
    10   0.824933E+03   0.305450E-02   0.320993E-04   0.848847E+00
    11   0.825922E+03   0.257318E-02   0.385363E-04   0.805574E+00
    12   0.830320E+03   0.226690E-02   0.455648E-04   0.817609E+00
    13   0.836174E+03   0.219703E-02   0.531862E-04   0.860446E+00
    14   0.843285E+03   0.229582E-02   0.614021E-04   0.913552E+00
    15   0.850596E+03   0.248459E-02   0.702142E-04   0.970484E+00
    16   0.859854E+03   0.275177E-02   0.796240E-04   0.103236E+01
    17   0.870913E+03   0.314083E-02   0.896334E-04   0.109647E+01
    18   0.882633E+03   0.369368E-02   0.100244E-03   0.116154E+01
    19   0.895760E+03   0.441083E-02   0.111458E-03   0.123064E+01
    20   0.908667E+03   0.526731E-02   0.123276E-03   0.129872E+01
    21   0.922048E+03   0.625814E-02   0.135701E-03   0.137073E+01
    22   0.935931E+03   0.739614E-02   0.148734E-03   0.144721E+01
    23   0.949928E+03   0.867297E-02   0.162377E-03   0.152472E+01
    24   0.964356E+03   0.100850E-01   0.176632E-03   0.159918E+01
    25   0.979342E+03   0.116378E-01   0.191499E-03   0.166338E+01
    26   0.994390E+03   0.133447E-01   0.206981E-03   0.172166E+01
    27   0.100991E+04   0.152173E-01   0.223079E-03   0.177464E+01
    28   0.102574E+04   0.172500E-01   0.239794E-03   0.181727E+01
    29   0.104179E+04   0.194703E-01   0.257127E-03   0.185488E+01
    30   0.105827E+04   0.219072E-01   0.275080E-03   0.188111E+01
    31   0.107456E+04   0.245533E-01   0.293654E-03   0.190648E+01
    32   0.109145E+04   0.274215E-01   0.312849E-03   0.192557E+01
    33   0.110842E+04   0.304743E-01   0.332666E-03   0.193668E+01
    34   0.112546E+04   0.337408E-01   0.353107E-03   0.194081E+01
    35   0.114314E+04   0.372289E-01   0.374170E-03   0.192925E+01
    36   0.116057E+04   0.409673E-01   0.395857E-03   0.191261E+01
    37   0.117825E+04   0.449782E-01   0.418169E-03   0.188476E+01
    38   0.119632E+04   0.492470E-01   0.441105E-03   0.184735E+01
    39   0.121467E+04   0.537641E-01   0.464665E-03   0.180022E+01
    40   0.123320E+04   0.585241E-01   0.488849E-03   0.174176E+01
    41   0.125184E+04   0.635250E-01   0.513657E-03   0.167086E+01
    42   0.127059E+04   0.687800E-01   0.539089E-03   0.158851E+01
    43   0.128945E+04   0.743054E-01   0.565144E-03   0.149578E+01
    44   0.130849E+04   0.801155E-01   0.591822E-03   0.139216E+01
    45   0.132776E+04   0.862219E-01   0.619122E-03   0.127682E+01
    46   0.134724E+04   0.926314E-01   0.647044E-03   0.114937E+01
