#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.104316E+04   0.311549E-01   0.000000E+00   0.257246E+01   0.490412E-07   0.311783E-02  -0.122441E-04
     3   0.987769E+03   0.398468E-01   0.000000E+00   0.290510E+01   0.596912E-07   0.313413E-02  -0.130888E-04
     4   0.932781E+03   0.343672E-01   0.000000E+00   0.273715E+01   0.687892E-07   0.306352E-02  -0.110066E-04
     5   0.891179E+03   0.228096E-01   0.000000E+00   0.233791E+01   0.766838E-07   0.296112E-02  -0.740881E-05
     6   0.862446E+03   0.127020E-01   0.000000E+00   0.188700E+01   0.835777E-07   0.285004E-02  -0.348601E-05
     7   0.843879E+03   0.686605E-02   0.000000E+00   0.148510E+01   0.896507E-07   0.274116E-02  -0.146817E-06
     8   0.832413E+03   0.444792E-02   0.000000E+00   0.117609E+01   0.950275E-07   0.263516E-02   0.203819E-05
     9   0.826582E+03   0.356601E-02   0.000000E+00   0.966533E+00   0.998149E-07   0.253077E-02   0.288718E-05
    10   0.824874E+03   0.302240E-02   0.000000E+00   0.848857E+00   0.104081E-06   0.242995E-02   0.261166E-05
    11   0.825852E+03   0.253464E-02   0.000000E+00   0.805587E+00   0.107918E-06   0.233725E-02   0.167173E-05
    12   0.830237E+03   0.222134E-02   0.000000E+00   0.817628E+00   0.111329E-06   0.225187E-02   0.529246E-06
    13   0.836078E+03   0.214385E-02   0.000000E+00   0.860472E+00   0.114413E-06   0.217645E-02  -0.494606E-06
    14   0.843176E+03   0.223443E-02   0.000000E+00   0.913586E+00   0.117161E-06   0.210342E-02  -0.120272E-05
    15   0.850471E+03   0.241439E-02   0.000000E+00   0.970529E+00   0.119646E-06   0.203322E-02  -0.146433E-05
    16   0.859714E+03   0.267217E-02   0.000000E+00   0.103242E+01   0.121870E-06   0.196336E-02  -0.123291E-05
    17   0.870755E+03   0.305123E-02   0.000000E+00   0.109654E+01   0.123860E-06   0.189565E-02  -0.711707E-06
    18   0.882458E+03   0.359348E-02   0.000000E+00   0.116163E+01   0.125650E-06   0.183269E-02  -0.155218E-06
    19   0.895567E+03   0.429943E-02   0.000000E+00   0.123075E+01   0.127251E-06   0.177414E-02   0.207077E-06
    20   0.908455E+03   0.514410E-02   0.000000E+00   0.129885E+01   0.128669E-06   0.171908E-02   0.223601E-06
    21   0.921815E+03   0.612254E-02   0.000000E+00   0.137088E+01   0.129927E-06   0.166689E-02   0.214459E-07
    22   0.935678E+03   0.724754E-02   0.000000E+00   0.144739E+01   0.131044E-06   0.161716E-02  -0.229172E-06
    23   0.949654E+03   0.851076E-02   0.000000E+00   0.152494E+01   0.132030E-06   0.156975E-02  -0.454845E-06
    24   0.964060E+03   0.990858E-02   0.000000E+00   0.159944E+01   0.132891E-06   0.152458E-02  -0.618779E-06
    25   0.979024E+03   0.114465E-01   0.000000E+00   0.166368E+01   0.133638E-06   0.148152E-02  -0.733329E-06
    26   0.994049E+03   0.131381E-01   0.000000E+00   0.172200E+01   0.134283E-06   0.144041E-02  -0.807322E-06
    27   0.100955E+04   0.149947E-01   0.000000E+00   0.177502E+01   0.134834E-06   0.140091E-02  -0.787529E-06
    28   0.102535E+04   0.170108E-01   0.000000E+00   0.181771E+01   0.135298E-06   0.136277E-02  -0.631238E-06
    29   0.104138E+04   0.192139E-01   0.000000E+00   0.185538E+01   0.135675E-06   0.132624E-02  -0.398190E-06
    30   0.105783E+04   0.216330E-01   0.000000E+00   0.188166E+01   0.135967E-06   0.129159E-02  -0.177048E-06
    31   0.107409E+04   0.242607E-01   0.000000E+00   0.190709E+01   0.136183E-06   0.125863E-02  -0.714395E-07
    32   0.109096E+04   0.271099E-01   0.000000E+00   0.192626E+01   0.136337E-06   0.122709E-02  -0.154704E-06
    33   0.110790E+04   0.301431E-01   0.000000E+00   0.193744E+01   0.136430E-06   0.119680E-02  -0.365699E-06
    34   0.112492E+04   0.333894E-01   0.000000E+00   0.194165E+01   0.136467E-06   0.116758E-02  -0.606588E-06
    35   0.114258E+04   0.368568E-01   0.000000E+00   0.193017E+01   0.136451E-06   0.113926E-02  -0.765622E-06
    36   0.115997E+04   0.405739E-01   0.000000E+00   0.191362E+01   0.136385E-06   0.111177E-02  -0.758859E-06
    37   0.117763E+04   0.445629E-01   0.000000E+00   0.188586E+01   0.136274E-06   0.108546E-02  -0.626080E-06
    38   0.119567E+04   0.488092E-01   0.000000E+00   0.184855E+01   0.136121E-06   0.106067E-02  -0.435480E-06
    39   0.121399E+04   0.533034E-01   0.000000E+00   0.180152E+01   0.135927E-06   0.103715E-02  -0.246238E-06
    40   0.123249E+04   0.580397E-01   0.000000E+00   0.174315E+01   0.135695E-06   0.101453E-02  -0.115125E-06
    41   0.125110E+04   0.630166E-01   0.000000E+00   0.167236E+01   0.135428E-06   0.992513E-03  -0.833680E-07
    42   0.126982E+04   0.682469E-01   0.000000E+00   0.159011E+01   0.135126E-06   0.971050E-03  -0.130771E-06
    43   0.128866E+04   0.737472E-01   0.000000E+00   0.149749E+01   0.134793E-06   0.950164E-03  -0.221912E-06
    44   0.130766E+04   0.795317E-01   0.000000E+00   0.139398E+01   0.134430E-06   0.929881E-03  -0.321496E-06
    45   0.132691E+04   0.856119E-01   0.000000E+00   0.127875E+01   0.134041E-06   0.910225E-03  -0.394343E-06
    46   0.134636E+04   0.919947E-01   0.000000E+00   0.115142E+01   0.133628E-06   0.891210E-03  -0.415696E-06
    47   0.136599E+04   0.986804E-01   0.000000E+00   0.101146E+01   0.133192E-06   0.872810E-03  -0.402130E-06
    48   0.138579E+04   0.105661E+00   0.000000E+00   0.858333E+00   0.132735E-06   0.854988E-03  -0.380480E-06
    49   0.140573E+04   0.112927E+00   0.000000E+00   0.691538E+00   0.132258E-06   0.837709E-03  -0.377506E-06
    50   0.142587E+04   0.120480E+00   0.000000E+00   0.510731E+00   0.131763E-06   0.820936E-03  -0.419905E-06
    51   0.144627E+04   0.128325E+00   0.000000E+00   0.315863E+00   0.131253E-06   0.804645E-03  -0.524121E-06
    52   0.146688E+04   0.136466E+00   0.000000E+00   0.107873E+00   0.130726E-06   0.788850E-03  -0.665813E-06
    53   0.148762E+04   0.144904E+00   0.000000E+00  -0.112263E+00   0.130186E-06   0.773575E-03  -0.810520E-06
    54   0.150848E+04   0.153641E+00   0.000000E+00  -0.344428E+00   0.129632E-06   0.758845E-03  -0.923854E-06
    55   0.152945E+04   0.162682E+00   0.000000E+00  -0.588875E+00   0.129066E-06   0.744684E-03  -0.971496E-06
    56   0.155065E+04   0.172023E+00   0.000000E+00  -0.846496E+00   0.128489E-06   0.731103E-03  -0.930301E-06
    57   0.157218E+04   0.181661E+00   0.000000E+00  -0.111817E+01   0.127901E-06   0.718046E-03  -0.821603E-06
    58   0.159398E+04   0.191593E+00   0.000000E+00  -0.140410E+01   0.127302E-06   0.705443E-03  -0.677792E-06
    59   0.161598E+04   0.201819E+00   0.000000E+00  -0.170419E+01   0.126694E-06   0.693225E-03  -0.531197E-06
    60   0.163816E+04   0.212331E+00   0.000000E+00  -0.201794E+01   0.126077E-06   0.681321E-03  -0.414090E-06
    61   0.166051E+04   0.223121E+00   0.000000E+00  -0.234487E+01   0.125452E-06   0.669673E-03  -0.352011E-06
    62   0.168305E+04   0.234185E+00   0.000000E+00  -0.268496E+01   0.124819E-06   0.658262E-03  -0.343753E-06
    63   0.170580E+04   0.245521E+00   0.000000E+00  -0.303834E+01   0.124180E-06   0.647081E-03  -0.381438E-06
    64   0.172875E+04   0.257128E+00   0.000000E+00  -0.340512E+01   0.123535E-06   0.636122E-03  -0.457206E-06
    65   0.175194E+04   0.269005E+00   0.000000E+00  -0.378545E+01   0.122885E-06   0.625377E-03  -0.563209E-06
    66   0.177541E+04   0.281146E+00   0.000000E+00  -0.417955E+01   0.122232E-06   0.614845E-03  -0.690359E-06
    67   0.179913E+04   0.293542E+00   0.000000E+00  -0.458688E+01   0.121575E-06   0.604546E-03  -0.824565E-06
    68   0.182307E+04   0.306183E+00   0.000000E+00  -0.500673E+01   0.120916E-06   0.594507E-03  -0.950499E-06
    69   0.184718E+04   0.319062E+00   0.000000E+00  -0.543842E+01   0.120255E-06   0.584753E-03  -0.105285E-05
    70   0.187143E+04   0.332171E+00   0.000000E+00  -0.588145E+01   0.119592E-06   0.575313E-03  -0.111634E-05
    71   0.189581E+04   0.345506E+00   0.000000E+00  -0.633565E+01   0.118928E-06   0.566204E-03  -0.113012E-05
    72   0.192041E+04   0.359063E+00   0.000000E+00  -0.680188E+01   0.118263E-06   0.557415E-03  -0.110108E-05
    73   0.194537E+04   0.372835E+00   0.000000E+00  -0.728107E+01   0.117596E-06   0.548926E-03  -0.104049E-05
    74   0.197067E+04   0.386811E+00   0.000000E+00  -0.777305E+01   0.116928E-06   0.540720E-03  -0.959662E-06
    75   0.199634E+04   0.400980E+00   0.000000E+00  -0.827735E+01   0.116258E-06   0.532775E-03  -0.869847E-06
    76   0.202232E+04   0.415328E+00   0.000000E+00  -0.879338E+01   0.115588E-06   0.525074E-03  -0.781126E-06
    77   0.204848E+04   0.429842E+00   0.000000E+00  -0.931971E+01   0.114917E-06   0.517595E-03  -0.698840E-06
    78   0.207482E+04   0.444511E+00   0.000000E+00  -0.985588E+01   0.114245E-06   0.510316E-03  -0.627143E-06
    79   0.210138E+04   0.459323E+00   0.000000E+00  -0.104017E+02   0.113574E-06   0.503216E-03  -0.570187E-06
    80   0.212818E+04   0.474267E+00   0.000000E+00  -0.109573E+02   0.112903E-06   0.496274E-03  -0.532120E-06
    81   0.215524E+04   0.489330E+00   0.000000E+00  -0.115224E+02   0.112232E-06   0.489468E-03  -0.516015E-06
    82   0.218257E+04   0.504502E+00   0.000000E+00  -0.120965E+02   0.111563E-06   0.482781E-03  -0.520656E-06
    83   0.221015E+04   0.519771E+00   0.000000E+00  -0.126795E+02   0.110896E-06   0.476197E-03  -0.543755E-06
    84   0.223798E+04   0.535126E+00   0.000000E+00  -0.132708E+02   0.110230E-06   0.469698E-03  -0.583028E-06
    85   0.226606E+04   0.550554E+00   0.000000E+00  -0.138703E+02   0.109565E-06   0.463268E-03  -0.636194E-06
    86   0.229436E+04   0.566045E+00   0.000000E+00  -0.144774E+02   0.108904E-06   0.456896E-03  -0.700567E-06
    87   0.232287E+04   0.581586E+00   0.000000E+00  -0.150915E+02   0.108244E-06   0.450598E-03  -0.771838E-06
    88   0.235156E+04   0.597164E+00   0.000000E+00  -0.157122E+02   0.107587E-06   0.444396E-03  -0.845296E-06
    89   0.238045E+04   0.612766E+00   0.000000E+00  -0.163389E+02   0.106932E-06   0.438311E-03  -0.916233E-06
    90   0.240954E+04   0.628374E+00   0.000000E+00  -0.169713E+02   0.106280E-06   0.432366E-03  -0.979944E-06
    91   0.243883E+04   0.643976E+00   0.000000E+00  -0.176088E+02   0.105631E-06   0.426578E-03  -0.103265E-05
    92   0.246834E+04   0.659557E+00   0.000000E+00  -0.182512E+02   0.104985E-06   0.420945E-03  -0.107429E-05
    93   0.249806E+04   0.675100E+00   0.000000E+00  -0.188979E+02   0.104342E-06   0.415463E-03  -0.110569E-05
    94   0.252801E+04   0.690595E+00   0.000000E+00  -0.195488E+02   0.103702E-06   0.410125E-03  -0.112771E-05
    95   0.255819E+04   0.706024E+00   0.000000E+00  -0.202033E+02   0.103065E-06   0.404925E-03  -0.114120E-05
    96   0.258859E+04   0.721375E+00   0.000000E+00  -0.208610E+02   0.102431E-06   0.399858E-03  -0.114700E-05
    97   0.261922E+04   0.736631E+00   0.000000E+00  -0.215214E+02   0.101800E-06   0.394919E-03  -0.114596E-05
    98   0.265008E+04   0.751779E+00   0.000000E+00  -0.221840E+02   0.101173E-06   0.390101E-03  -0.113893E-05
    99   0.268115E+04   0.766802E+00   0.000000E+00  -0.228484E+02   0.100549E-06   0.385398E-03  -0.112674E-05
   100   0.271244E+04   0.781690E+00   0.000000E+00  -0.235140E+02   0.999282E-07   0.380806E-03  -0.111025E-05
   101   0.274395E+04   0.796427E+00   0.000000E+00  -0.241803E+02   0.993109E-07   0.376319E-03  -0.109028E-05
   102   0.277568E+04   0.810991E+00   0.000000E+00  -0.248470E+02   0.986971E-07   0.371930E-03  -0.106770E-05
   103   0.280761E+04   0.825382E+00   0.000000E+00  -0.255133E+02   0.980868E-07   0.367634E-03  -0.104333E-05
   104   0.283974E+04   0.839571E+00   0.000000E+00  -0.261788E+02   0.974801E-07   0.363426E-03  -0.101803E-05
   105   0.287207E+04   0.853550E+00   0.000000E+00  -0.268428E+02   0.968771E-07   0.359300E-03  -0.992629E-06
   106   0.290459E+04   0.867303E+00   0.000000E+00  -0.275048E+02   0.962778E-07   0.355251E-03  -0.967969E-06
   107   0.293729E+04   0.880825E+00   0.000000E+00  -0.281642E+02   0.956823E-07   0.351272E-03  -0.944892E-06
   108   0.297016E+04   0.894091E+00   0.000000E+00  -0.288206E+02   0.950906E-07   0.347358E-03  -0.924238E-06
   109   0.300319E+04   0.907095E+00   0.000000E+00  -0.294731E+02   0.945029E-07   0.343504E-03  -0.906845E-06
   110   0.303639E+04   0.919815E+00   0.000000E+00  -0.301214E+02   0.939191E-07   0.339703E-03  -0.893554E-06
   111   0.306974E+04   0.932243E+00   0.000000E+00  -0.307649E+02   0.933394E-07   0.335952E-03  -0.885001E-06
   112   0.310324E+04   0.944371E+00   0.000000E+00  -0.314028E+02   0.927636E-07   0.332250E-03  -0.881022E-06
   113   0.313688E+04   0.956177E+00   0.000000E+00  -0.320349E+02   0.921919E-07   0.328596E-03  -0.881248E-06
   114   0.317065E+04   0.967646E+00   0.000000E+00  -0.326603E+02   0.916243E-07   0.324991E-03  -0.885315E-06
   115   0.320455E+04   0.978779E+00   0.000000E+00  -0.332786E+02   0.910606E-07   0.321435E-03  -0.892855E-06
   116   0.323857E+04   0.989559E+00   0.000000E+00  -0.338892E+02   0.905010E-07   0.317929E-03  -0.903504E-06
   117   0.327272E+04   0.999965E+00   0.000000E+00  -0.344915E+02   0.899454E-07   0.314472E-03  -0.916894E-06
   118   0.330696E+04   0.101000E+01   0.000000E+00  -0.350849E+02   0.893938E-07   0.311064E-03  -0.932662E-06
   119   0.334130E+04   0.101964E+01   0.000000E+00  -0.356690E+02   0.888463E-07   0.307706E-03  -0.950440E-06
   120   0.337574E+04   0.102889E+01   0.000000E+00  -0.362431E+02   0.883027E-07   0.304398E-03  -0.969865E-06
   121   0.341026E+04   0.103772E+01   0.000000E+00  -0.368065E+02   0.877631E-07   0.301140E-03  -0.990572E-06
   122   0.344485E+04   0.104613E+01   0.000000E+00  -0.373590E+02   0.872276E-07   0.297933E-03  -0.101219E-05
   123   0.347950E+04   0.105412E+01   0.000000E+00  -0.378997E+02   0.866961E-07   0.294776E-03  -0.103437E-05
   124   0.351421E+04   0.106167E+01   0.000000E+00  -0.384282E+02   0.861686E-07   0.291669E-03  -0.105673E-05
   125   0.354897E+04   0.106877E+01   0.000000E+00  -0.389440E+02   0.856451E-07   0.288614E-03  -0.107892E-05
   126   0.358377E+04   0.107542E+01   0.000000E+00  -0.394464E+02   0.851256E-07   0.285609E-03  -0.110056E-05
   127   0.361860E+04   0.108161E+01   0.000000E+00  -0.399350E+02   0.846101E-07   0.282656E-03  -0.112130E-05
   128   0.365345E+04   0.108733E+01   0.000000E+00  -0.404093E+02   0.840986E-07   0.279754E-03  -0.114076E-05
   129   0.368831E+04   0.109258E+01   0.000000E+00  -0.408686E+02   0.835912E-07   0.276904E-03  -0.115860E-05
   130   0.372318E+04   0.109734E+01   0.000000E+00  -0.413125E+02   0.830877E-07   0.274106E-03  -0.117444E-05
   131   0.375803E+04   0.110161E+01   0.000000E+00  -0.417404E+02   0.825883E-07   0.271360E-03  -0.118799E-05
   132   0.379288E+04   0.110540E+01   0.000000E+00  -0.421518E+02   0.820929E-07   0.268664E-03  -0.119928E-05
   133   0.382770E+04   0.110868E+01   0.000000E+00  -0.425463E+02   0.816014E-07   0.266017E-03  -0.120841E-05
   134   0.386250E+04   0.111149E+01   0.000000E+00  -0.429233E+02   0.811139E-07   0.263417E-03  -0.121548E-05
   135   0.389725E+04   0.111378E+01   0.000000E+00  -0.432826E+02   0.806303E-07   0.260864E-03  -0.122058E-05
   136   0.393196E+04   0.111558E+01   0.000000E+00  -0.436234E+02   0.801505E-07   0.258355E-03  -0.122381E-05
   137   0.396662E+04   0.111687E+01   0.000000E+00  -0.439453E+02   0.796746E-07   0.255889E-03  -0.122527E-05
   138   0.400121E+04   0.111767E+01   0.000000E+00  -0.442480E+02   0.792025E-07   0.253464E-03  -0.122506E-05
   139   0.403573E+04   0.111796E+01   0.000000E+00  -0.445310E+02   0.787343E-07   0.251079E-03  -0.122328E-05
   140   0.407018E+04   0.111776E+01   0.000000E+00  -0.447939E+02   0.782697E-07   0.248733E-03  -0.122002E-05
   141   0.410454E+04   0.111706E+01   0.000000E+00  -0.450364E+02   0.778090E-07   0.246424E-03  -0.121539E-05
