#           k/h    P           
   0.100000E-03   0.409895E+03
   0.102020E-03   0.417887E+03
   0.104081E-03   0.426034E+03
   0.106184E-03   0.434340E+03
   0.108329E-03   0.442807E+03
   0.110517E-03   0.451440E+03
   0.112750E-03   0.460240E+03
   0.115027E-03   0.469211E+03
   0.117351E-03   0.478358E+03
   0.119722E-03   0.487682E+03
   0.122140E-03   0.497187E+03
   0.124608E-03   0.506878E+03
   0.127125E-03   0.516757E+03
   0.129693E-03   0.526828E+03
   0.132313E-03   0.537095E+03
   0.134986E-03   0.547562E+03
   0.137713E-03   0.558232E+03
   0.140495E-03   0.569110E+03
   0.143333E-03   0.580199E+03
   0.146228E-03   0.591503E+03
   0.149182E-03   0.603027E+03
   0.152196E-03   0.614776E+03
   0.155271E-03   0.626752E+03
   0.158407E-03   0.638961E+03
   0.161607E-03   0.651407E+03
   0.164872E-03   0.664094E+03
   0.168203E-03   0.677028E+03
   0.171601E-03   0.690213E+03
   0.175067E-03   0.703654E+03
   0.178604E-03   0.717355E+03
   0.182212E-03   0.731322E+03
   0.185893E-03   0.745560E+03
   0.189648E-03   0.760074E+03
   0.193479E-03   0.774870E+03
   0.197388E-03   0.789952E+03
   0.201375E-03   0.805326E+03
   0.205443E-03   0.820998E+03
   0.209594E-03   0.836973E+03
   0.213828E-03   0.853257E+03
   0.218147E-03   0.869857E+03
   0.222554E-03   0.886777E+03
   0.227050E-03   0.904025E+03
   0.231637E-03   0.921606E+03
   0.236316E-03   0.939526E+03
   0.241090E-03   0.957793E+03
   0.245960E-03   0.976413E+03
   0.250929E-03   0.995391E+03
   0.255998E-03   0.101474E+04
   0.261170E-03   0.103445E+04
   0.266446E-03   0.105455E+04
   0.271828E-03   0.107504E+04
   0.277319E-03   0.109592E+04
   0.282922E-03   0.111720E+04
   0.288637E-03   0.113889E+04
   0.294468E-03   0.116099E+04
   0.300417E-03   0.118353E+04
   0.306485E-03   0.120649E+04
   0.312677E-03   0.122990E+04
   0.318993E-03   0.125375E+04
   0.325437E-03   0.127806E+04
   0.332012E-03   0.130284E+04
   0.338719E-03   0.132809E+04
   0.345561E-03   0.135383E+04
   0.352542E-03   0.138005E+04
   0.359664E-03   0.140678E+04
   0.366930E-03   0.143402E+04
   0.374342E-03   0.146178E+04
   0.381904E-03   0.149006E+04
   0.389619E-03   0.151889E+04
   0.397490E-03   0.154826E+04
   0.405520E-03   0.157819E+04
   0.413712E-03   0.160869E+04
   0.422070E-03   0.163977E+04
   0.430596E-03   0.167143E+04
   0.439295E-03   0.170370E+04
   0.448169E-03   0.173657E+04
   0.457222E-03   0.177007E+04
   0.466459E-03   0.180420E+04
   0.475882E-03   0.183897E+04
   0.485496E-03   0.187440E+04
   0.495303E-03   0.191049E+04
   0.505309E-03   0.194726E+04
   0.515517E-03   0.198472E+04
   0.525931E-03   0.202288E+04
   0.536556E-03   0.206176E+04
   0.547395E-03   0.210136E+04
   0.558453E-03   0.214170E+04
   0.569734E-03   0.218279E+04
   0.581244E-03   0.222465E+04
   0.592986E-03   0.226728E+04
   0.604965E-03   0.231071E+04
   0.617186E-03   0.235493E+04
   0.629654E-03   0.239998E+04
   0.642374E-03   0.244586E+04
   0.655350E-03   0.249258E+04
   0.668589E-03   0.254016E+04
   0.682096E-03   0.258862E+04
   0.695875E-03   0.263796E+04
   0.709933E-03   0.268820E+04
   0.724274E-03   0.273937E+04
   0.738906E-03   0.279146E+04
   0.753832E-03   0.284451E+04
   0.769061E-03   0.289851E+04
   0.784597E-03   0.295350E+04
   0.800447E-03   0.300948E+04
   0.816617E-03   0.306646E+04
   0.833114E-03   0.312448E+04
   0.849944E-03   0.318354E+04
   0.867114E-03   0.324365E+04
   0.884631E-03   0.330484E+04
   0.902501E-03   0.336712E+04
   0.920733E-03   0.343052E+04
   0.939333E-03   0.349503E+04
   0.958309E-03   0.356069E+04
   0.977668E-03   0.362751E+04
   0.997418E-03   0.369551E+04
   0.101757E-02   0.376470E+04
   0.103812E-02   0.383510E+04
   0.105910E-02   0.390674E+04
   0.108049E-02   0.397962E+04
   0.110232E-02   0.405377E+04
   0.112459E-02   0.412921E+04
   0.114730E-02   0.420595E+04
   0.117048E-02   0.428400E+04
   0.119413E-02   0.436340E+04
   0.121825E-02   0.444416E+04
   0.124286E-02   0.452629E+04
   0.126797E-02   0.460982E+04
   0.129358E-02   0.469476E+04
   0.131971E-02   0.478113E+04
   0.134637E-02   0.486895E+04
   0.137357E-02   0.495824E+04
   0.140132E-02   0.504901E+04
   0.142963E-02   0.514129E+04
   0.145851E-02   0.523510E+04
   0.148797E-02   0.533044E+04
   0.151803E-02   0.542734E+04
   0.154870E-02   0.552582E+04
   0.157998E-02   0.562589E+04
   0.161190E-02   0.572757E+04
   0.164446E-02   0.583088E+04
   0.167768E-02   0.593583E+04
   0.171158E-02   0.604245E+04
   0.174615E-02   0.615074E+04
   0.178143E-02   0.626072E+04
   0.181741E-02   0.637241E+04
   0.185413E-02   0.648582E+04
   0.189158E-02   0.660097E+04
   0.192980E-02   0.671786E+04
   0.196878E-02   0.683652E+04
   0.200855E-02   0.695696E+04
   0.204913E-02   0.707918E+04
   0.209052E-02   0.720320E+04
   0.213276E-02   0.732904E+04
   0.217584E-02   0.745669E+04
   0.221979E-02   0.758618E+04
   0.226464E-02   0.771750E+04
   0.231039E-02   0.785067E+04
   0.235706E-02   0.798570E+04
   0.240467E-02   0.812258E+04
   0.245325E-02   0.826133E+04
   0.250281E-02   0.840196E+04
   0.255337E-02   0.854446E+04
   0.260495E-02   0.868884E+04
   0.265758E-02   0.883509E+04
   0.271126E-02   0.898323E+04
   0.276603E-02   0.913324E+04
   0.282191E-02   0.928513E+04
   0.287892E-02   0.943889E+04
   0.293708E-02   0.959453E+04
   0.299641E-02   0.975203E+04
   0.305694E-02   0.991139E+04
   0.311870E-02   0.100726E+05
   0.318170E-02   0.102356E+05
   0.324597E-02   0.104005E+05
   0.331155E-02   0.105672E+05
   0.337844E-02   0.107356E+05
   0.344669E-02   0.109059E+05
   0.351632E-02   0.110779E+05
   0.358735E-02   0.112517E+05
   0.365982E-02   0.114272E+05
   0.373376E-02   0.116045E+05
   0.380918E-02   0.117835E+05
   0.388613E-02   0.119641E+05
   0.396464E-02   0.121461E+05
   0.404473E-02   0.123294E+05
   0.412644E-02   0.125141E+05
   0.420980E-02   0.127004E+05
   0.429484E-02   0.128885E+05
   0.438160E-02   0.130785E+05
   0.447012E-02   0.132709E+05
   0.456042E-02   0.134654E+05
   0.465255E-02   0.136609E+05
   0.474653E-02   0.138563E+05
   0.484242E-02   0.140504E+05
   0.494024E-02   0.142418E+05
   0.504004E-02   0.144305E+05
   0.514186E-02   0.146179E+05
   0.524573E-02   0.148055E+05
   0.535170E-02   0.149951E+05
   0.545981E-02   0.151884E+05
   0.557011E-02   0.153862E+05
   0.568263E-02   0.155873E+05
   0.579743E-02   0.157907E+05
   0.591455E-02   0.159952E+05
   0.603403E-02   0.161994E+05
   0.615592E-02   0.164028E+05
   0.628028E-02   0.166056E+05
   0.640715E-02   0.168079E+05
   0.653658E-02   0.170098E+05
   0.666863E-02   0.172117E+05
   0.680335E-02   0.174134E+05
   0.694078E-02   0.176148E+05
   0.708100E-02   0.178158E+05
   0.722404E-02   0.180159E+05
   0.736998E-02   0.182152E+05
   0.751886E-02   0.184132E+05
   0.767075E-02   0.186101E+05
   0.782571E-02   0.188056E+05
   0.798380E-02   0.189997E+05
   0.814509E-02   0.191922E+05
   0.830963E-02   0.193829E+05
   0.847750E-02   0.195718E+05
   0.864875E-02   0.197585E+05
   0.882347E-02   0.199430E+05
   0.900171E-02   0.201251E+05
   0.918356E-02   0.203045E+05
   0.936908E-02   0.204810E+05
   0.955835E-02   0.206545E+05
   0.975144E-02   0.208248E+05
   0.994843E-02   0.209916E+05
   0.101494E-01   0.211548E+05
   0.103544E-01   0.213141E+05
   0.105636E-01   0.214693E+05
   0.107770E-01   0.216203E+05
   0.109947E-01   0.217666E+05
   0.112168E-01   0.219083E+05
   0.114434E-01   0.220449E+05
   0.116746E-01   0.221763E+05
   0.119104E-01   0.223023E+05
   0.121510E-01   0.224225E+05
   0.123965E-01   0.225369E+05
   0.126469E-01   0.226450E+05
   0.129024E-01   0.227466E+05
   0.131631E-01   0.228416E+05
   0.134290E-01   0.229296E+05
   0.137003E-01   0.230105E+05
   0.139770E-01   0.230838E+05
   0.142594E-01   0.231495E+05
   0.145474E-01   0.232072E+05
   0.148413E-01   0.232567E+05
   0.151411E-01   0.232978E+05
   0.154470E-01   0.233302E+05
   0.157590E-01   0.233536E+05
   0.160774E-01   0.233679E+05
   0.164022E-01   0.233728E+05
   0.167335E-01   0.233681E+05
   0.170716E-01   0.233537E+05
   0.174164E-01   0.233292E+05
   0.177683E-01   0.232945E+05
   0.181272E-01   0.232495E+05
   0.184934E-01   0.231940E+05
   0.188670E-01   0.231278E+05
