#    L    TT             EE             TE             PP             TP          
     2   0.104316E+04   0.311549E-01   0.257246E+01   0.101730E+07   0.290631E+05
     3   0.987769E+03   0.398468E-01   0.290510E+01   0.156713E+07   0.348606E+05
     4   0.932781E+03   0.343672E-01   0.273715E+01   0.205481E+07   0.375390E+05
     5   0.891179E+03   0.228096E-01   0.233791E+01   0.248550E+07   0.385753E+05
     6   0.862446E+03   0.127020E-01   0.188700E+01   0.286595E+07   0.387308E+05
     7   0.843879E+03   0.686605E-02   0.148510E+01   0.320363E+07   0.384214E+05
     8   0.832413E+03   0.444792E-02   0.117609E+01   0.350442E+07   0.378184E+05
     9   0.826582E+03   0.356601E-02   0.966533E+00   0.377357E+07   0.370034E+05
    10   0.824874E+03   0.302240E-02   0.848857E+00   0.401475E+07   0.360691E+05
    11   0.825852E+03   0.253464E-02   0.805587E+00   0.423242E+07   0.351276E+05
    12   0.830237E+03   0.222134E-02   0.817628E+00   0.442746E+07   0.342001E+05
    13   0.836078E+03   0.214385E-02   0.860472E+00   0.460446E+07   0.333502E+05
    14   0.843176E+03   0.223443E-02   0.913586E+00   0.476355E+07   0.324794E+05
    15   0.850471E+03   0.241439E-02   0.970529E+00   0.490808E+07   0.316058E+05
    16   0.859714E+03   0.267217E-02   0.103242E+01   0.503860E+07   0.306996E+05
    17   0.870755E+03   0.305123E-02   0.109654E+01   0.515650E+07   0.297953E+05
    18   0.882458E+03   0.359348E-02   0.116163E+01   0.526348E+07   0.289396E+05
    19   0.895567E+03   0.429943E-02   0.123075E+01   0.536019E+07   0.281320E+05
    20   0.908455E+03   0.514410E-02   0.129885E+01   0.544714E+07   0.273613E+05
    21   0.921815E+03   0.612254E-02   0.137088E+01   0.552540E+07   0.266212E+05
    22   0.935678E+03   0.724754E-02   0.144739E+01   0.559602E+07   0.259073E+05
    23   0.949654E+03   0.851076E-02   0.152494E+01   0.565949E+07   0.252192E+05
    24   0.964060E+03   0.990858E-02   0.159944E+01   0.571623E+07   0.245574E+05
    25   0.979024E+03   0.114465E-01   0.166368E+01   0.576680E+07   0.239212E+05
    26   0.994049E+03   0.131381E-01   0.172200E+01   0.581181E+07   0.233091E+05
    27   0.100955E+04   0.149947E-01   0.177502E+01   0.585171E+07   0.227166E+05
    28   0.102535E+04   0.170108E-01   0.181771E+01   0.588686E+07   0.221406E+05
    29   0.104138E+04   0.192139E-01   0.185538E+01   0.591733E+07   0.215856E+05
    30   0.105783E+04   0.216330E-01   0.188166E+01   0.594324E+07   0.210567E+05
    31   0.107409E+04   0.242607E-01   0.190709E+01   0.596512E+07   0.205514E+05
    32   0.109096E+04   0.271099E-01   0.192626E+01   0.598352E+07   0.200659E+05
    33   0.110790E+04   0.301431E-01   0.193744E+01   0.599865E+07   0.195975E+05
    34   0.112492E+04   0.333894E-01   0.194165E+01   0.601066E+07   0.191439E+05
    35   0.114258E+04   0.368568E-01   0.193017E+01   0.601976E+07   0.187024E+05
    36   0.115997E+04   0.405739E-01   0.191362E+01   0.602617E+07   0.182722E+05
    37   0.117763E+04   0.445629E-01   0.188586E+01   0.603007E+07   0.178594E+05
    38   0.119567E+04   0.488092E-01   0.184855E+01   0.603163E+07   0.174696E+05
    39   0.121399E+04   0.533034E-01   0.180152E+01   0.603098E+07   0.170991E+05
    40   0.123249E+04   0.580397E-01   0.174315E+01   0.602823E+07   0.167419E+05
    41   0.125110E+04   0.630166E-01   0.167236E+01   0.602349E+07   0.163932E+05
    42   0.126982E+04   0.682469E-01   0.159011E+01   0.601689E+07   0.160524E+05
