#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105545E-04   0.196150E+08   0.196150E+08   0.261397E+08   0.261394E+08   0.196173E+08   0.196151E+08   0.196150E+08   0.189481E+08  -0.471686E+00   0.104744E+08   0.104744E+08   0.514811E+01
   0.116535E-04   0.196150E+08   0.196150E+08   0.261367E+08   0.261364E+08   0.196172E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471686E+00   0.104744E+08   0.104744E+08   0.568396E+01
   0.128670E-04   0.196150E+08   0.196150E+08   0.261331E+08   0.261326E+08   0.196172E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471685E+00   0.104744E+08   0.104744E+08   0.627555E+01
   0.142067E-04   0.196150E+08   0.196150E+08   0.261286E+08   0.261281E+08   0.196172E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471685E+00   0.104744E+08   0.104744E+08   0.692865E+01
   0.156860E-04   0.196150E+08   0.196150E+08   0.261232E+08   0.261225E+08   0.196172E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471684E+00   0.104744E+08   0.104744E+08   0.764963E+01
   0.173193E-04   0.196150E+08   0.196150E+08   0.261165E+08   0.261157E+08   0.196171E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471684E+00   0.104743E+08   0.104743E+08   0.844553E+01
   0.191227E-04   0.196150E+08   0.196150E+08   0.261084E+08   0.261075E+08   0.196171E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471683E+00   0.104743E+08   0.104743E+08   0.932408E+01
   0.211139E-04   0.196150E+08   0.196150E+08   0.260986E+08   0.260974E+08   0.196171E+08   0.196150E+08   0.196150E+08   0.189481E+08  -0.471682E+00   0.104743E+08   0.104743E+08   0.102938E+02
   0.233124E-04   0.196149E+08   0.196149E+08   0.260866E+08   0.260852E+08   0.196170E+08   0.196149E+08   0.196149E+08   0.189482E+08  -0.471681E+00   0.104743E+08   0.104743E+08   0.113641E+02
   0.257398E-04   0.196149E+08   0.196149E+08   0.260720E+08   0.260702E+08   0.196169E+08   0.196149E+08   0.196149E+08   0.189482E+08  -0.471679E+00   0.104743E+08   0.104743E+08   0.125454E+02
   0.284200E-04   0.196148E+08   0.196148E+08   0.260542E+08   0.260520E+08   0.196168E+08   0.196149E+08   0.196148E+08   0.189482E+08  -0.471677E+00   0.104742E+08   0.104742E+08   0.138489E+02
   0.313792E-04   0.196148E+08   0.196148E+08   0.260324E+08   0.260298E+08   0.196167E+08   0.196148E+08   0.196148E+08   0.189482E+08  -0.471675E+00   0.104742E+08   0.104742E+08   0.152872E+02
   0.346466E-04   0.196147E+08   0.196147E+08   0.260060E+08   0.260028E+08   0.196166E+08   0.196147E+08   0.196147E+08   0.189482E+08  -0.471672E+00   0.104741E+08   0.104741E+08   0.168740E+02
   0.382541E-04   0.196147E+08   0.196147E+08   0.259738E+08   0.259699E+08   0.196164E+08   0.196147E+08   0.196147E+08   0.189482E+08  -0.471669E+00   0.104741E+08   0.104741E+08   0.186243E+02
   0.422374E-04   0.196146E+08   0.196146E+08   0.259346E+08   0.259299E+08   0.196162E+08   0.196146E+08   0.196146E+08   0.189482E+08  -0.471665E+00   0.104740E+08   0.104740E+08   0.205545E+02
   0.466354E-04   0.196145E+08   0.196144E+08   0.258869E+08   0.258812E+08   0.196160E+08   0.196145E+08   0.196145E+08   0.189482E+08  -0.471660E+00   0.104739E+08   0.104739E+08   0.226826E+02
   0.514913E-04   0.196143E+08   0.196143E+08   0.258288E+08   0.258219E+08   0.196157E+08   0.196143E+08   0.196143E+08   0.189483E+08  -0.471654E+00   0.104738E+08   0.104738E+08   0.250281E+02
   0.568528E-04   0.196142E+08   0.196141E+08   0.257582E+08   0.257497E+08   0.196153E+08   0.196142E+08   0.196141E+08   0.189483E+08  -0.471647E+00   0.104737E+08   0.104737E+08   0.276121E+02
   0.627726E-04   0.196139E+08   0.196139E+08   0.256724E+08   0.256620E+08   0.196148E+08   0.196139E+08   0.196139E+08   0.189483E+08  -0.471638E+00   0.104735E+08   0.104735E+08   0.304577E+02
   0.693089E-04   0.196137E+08   0.196137E+08   0.255680E+08   0.255555E+08   0.196143E+08   0.196137E+08   0.196137E+08   0.189484E+08  -0.471628E+00   0.104733E+08   0.104733E+08   0.335893E+02
   0.765257E-04   0.196134E+08   0.196134E+08   0.254414E+08   0.254262E+08   0.196136E+08   0.196134E+08   0.196134E+08   0.189484E+08  -0.471615E+00   0.104731E+08   0.104731E+08   0.370334E+02
   0.844939E-04   0.196130E+08   0.196130E+08   0.252878E+08   0.252693E+08   0.196128E+08   0.196130E+08   0.196130E+08   0.189485E+08  -0.471599E+00   0.104728E+08   0.104728E+08   0.408178E+02
   0.932919E-04   0.196126E+08   0.196125E+08   0.251017E+08   0.250793E+08   0.196118E+08   0.196126E+08   0.196126E+08   0.189486E+08  -0.471579E+00   0.104725E+08   0.104725E+08   0.449716E+02
   0.103006E-03   0.196120E+08   0.196120E+08   0.248766E+08   0.248495E+08   0.196106E+08   0.196120E+08   0.196120E+08   0.189487E+08  -0.471556E+00   0.104721E+08   0.104720E+08   0.495250E+02
   0.113731E-03   0.196114E+08   0.196113E+08   0.246047E+08   0.245719E+08   0.196092E+08   0.196114E+08   0.196114E+08   0.189488E+08  -0.471527E+00   0.104715E+08   0.104715E+08   0.545085E+02
   0.125574E-03   0.196106E+08   0.196105E+08   0.242768E+08   0.242373E+08   0.196074E+08   0.196105E+08   0.196106E+08   0.189490E+08  -0.471493E+00   0.104709E+08   0.104709E+08   0.599520E+02
   0.138649E-03   0.196096E+08   0.196095E+08   0.238827E+08   0.238350E+08   0.196052E+08   0.196095E+08   0.196096E+08   0.189491E+08  -0.471451E+00   0.104701E+08   0.104701E+08   0.658838E+02
   0.153086E-03   0.196084E+08   0.196083E+08   0.234101E+08   0.233530E+08   0.196026E+08   0.196083E+08   0.196084E+08   0.189494E+08  -0.471400E+00   0.104692E+08   0.104692E+08   0.723287E+02
   0.169026E-03   0.196069E+08   0.196068E+08   0.228458E+08   0.227774E+08   0.195993E+08   0.196069E+08   0.196069E+08   0.189496E+08  -0.471338E+00   0.104681E+08   0.104680E+08   0.793057E+02
   0.186626E-03   0.196052E+08   0.196050E+08   0.221748E+08   0.220934E+08   0.195954E+08   0.196051E+08   0.196051E+08   0.189500E+08  -0.471263E+00   0.104667E+08   0.104667E+08   0.868251E+02
   0.206059E-03   0.196030E+08   0.196029E+08   0.213817E+08   0.212852E+08   0.195906E+08   0.196029E+08   0.196030E+08   0.189504E+08  -0.471172E+00   0.104651E+08   0.104650E+08   0.948847E+02
   0.227515E-03   0.196004E+08   0.196002E+08   0.204504E+08   0.203367E+08   0.195848E+08   0.196003E+08   0.196004E+08   0.189509E+08  -0.471062E+00   0.104631E+08   0.104630E+08   0.103464E+03
   0.251205E-03   0.195973E+08   0.195970E+08   0.193662E+08   0.192334E+08   0.195778E+08   0.195971E+08   0.195972E+08   0.189515E+08  -0.470931E+00   0.104606E+08   0.104605E+08   0.112520E+03
   0.277362E-03   0.195935E+08   0.195932E+08   0.181172E+08   0.179635E+08   0.195693E+08   0.195933E+08   0.195934E+08   0.189522E+08  -0.470773E+00   0.104577E+08   0.104576E+08   0.121976E+03
   0.306242E-03   0.195889E+08   0.195885E+08   0.166968E+08   0.165210E+08   0.195589E+08   0.195887E+08   0.195888E+08   0.189531E+08  -0.470583E+00   0.104542E+08   0.104540E+08   0.131719E+03
   0.338129E-03   0.195833E+08   0.195829E+08   0.151072E+08   0.149091E+08   0.195463E+08   0.195831E+08   0.195832E+08   0.189542E+08  -0.470357E+00   0.104499E+08   0.104498E+08   0.141586E+03
   0.373337E-03   0.195766E+08   0.195761E+08   0.133636E+08   0.131444E+08   0.195311E+08   0.195763E+08   0.195765E+08   0.189556E+08  -0.470089E+00   0.104448E+08   0.104446E+08   0.151356E+03
   0.412211E-03   0.195686E+08   0.195680E+08   0.114987E+08   0.112616E+08   0.195128E+08   0.195683E+08   0.195685E+08   0.189572E+08  -0.469772E+00   0.104387E+08   0.104385E+08   0.160748E+03
   0.455133E-03   0.195590E+08   0.195583E+08   0.956642E+07   0.931708E+07   0.194906E+08   0.195586E+08   0.195589E+08   0.189591E+08  -0.469399E+00   0.104314E+08   0.104312E+08   0.169416E+03
   0.502524E-03   0.195476E+08   0.195468E+08   0.764389E+07   0.739104E+07   0.194640E+08   0.195471E+08   0.195475E+08   0.189614E+08  -0.468965E+00   0.104229E+08   0.104226E+08   0.176955E+03
   0.554849E-03   0.195340E+08   0.195330E+08   0.582864E+07   0.558392E+07   0.194320E+08   0.195334E+08   0.195339E+08   0.189640E+08  -0.468461E+00   0.104127E+08   0.104124E+08   0.182925E+03
   0.612623E-03   0.195180E+08   0.195168E+08   0.422842E+07   0.400557E+07   0.193937E+08   0.195172E+08   0.195178E+08   0.189670E+08  -0.467884E+00   0.104009E+08   0.104005E+08   0.186878E+03
   0.676413E-03   0.194991E+08   0.194978E+08   0.294138E+07   0.275444E+07   0.193479E+08   0.194982E+08   0.194989E+08   0.189701E+08  -0.467226E+00   0.103871E+08   0.103867E+08   0.188417E+03
   0.746844E-03   0.194770E+08   0.194756E+08   0.202764E+07   0.188796E+07   0.192935E+08   0.194759E+08   0.194768E+08   0.189734E+08  -0.466484E+00   0.103712E+08   0.103708E+08   0.187251E+03
   0.824610E-03   0.194513E+08   0.194497E+08   0.147946E+07   0.139210E+07   0.192289E+08   0.194500E+08   0.194510E+08   0.189762E+08  -0.465656E+00   0.103530E+08   0.103526E+08   0.183265E+03
   0.910472E-03   0.194216E+08   0.194198E+08   0.120623E+07   0.116701E+07   0.191526E+08   0.194201E+08   0.194213E+08   0.189781E+08  -0.464737E+00   0.103324E+08   0.103320E+08   0.176556E+03
   0.100528E-02   0.193874E+08   0.193854E+08   0.105541E+07   0.105069E+07   0.190629E+08   0.193856E+08   0.193871E+08   0.189782E+08  -0.463725E+00   0.103093E+08   0.103088E+08   0.167438E+03
   0.110995E-02   0.193482E+08   0.193462E+08   0.880554E+06   0.891287E+06   0.189578E+08   0.193461E+08   0.193479E+08   0.189753E+08  -0.462614E+00   0.102835E+08   0.102829E+08   0.156385E+03
   0.122552E-02   0.193036E+08   0.193014E+08   0.630118E+06   0.639424E+06   0.188353E+08   0.193011E+08   0.193032E+08   0.189681E+08  -0.461398E+00   0.102548E+08   0.102543E+08   0.143953E+03
   0.135313E-02   0.192528E+08   0.192507E+08   0.382108E+06   0.381885E+06   0.186935E+08   0.192500E+08   0.192525E+08   0.189548E+08  -0.460064E+00   0.102232E+08   0.102226E+08   0.130723E+03
   0.149403E-02   0.191954E+08   0.191932E+08   0.252867E+06   0.244099E+06   0.185307E+08   0.191921E+08   0.191951E+08   0.189338E+08  -0.458596E+00   0.101883E+08   0.101878E+08   0.117314E+03
   0.164959E-02   0.191305E+08   0.191282E+08   0.237682E+06  -0.178471E+06   0.183452E+08   0.191266E+08   0.191301E+08   0.189032E+08  -0.456973E+00   0.101498E+08   0.101493E+08   0.104409E+03
   0.182136E-02   0.190571E+08   0.190549E+08   0.202897E+06  -0.145295E+06   0.181354E+08   0.190526E+08   0.190568E+08   0.188614E+08  -0.455169E+00   0.101073E+08   0.101068E+08   0.926827E+02
   0.201101E-02   0.189744E+08   0.189721E+08   0.106156E+06  -0.118301E+06   0.179000E+08   0.189692E+08   0.189741E+08   0.188070E+08  -0.453153E+00   0.100603E+08   0.100598E+08   0.825707E+02
   0.222041E-02   0.188812E+08   0.188789E+08   0.640085E+05  -0.963199E+05   0.176381E+08   0.188752E+08   0.188808E+08   0.187385E+08  -0.450895E+00   0.100080E+08   0.100075E+08   0.741332E+02
   0.245161E-02   0.187763E+08   0.187738E+08   0.700461E+05  -0.784088E+05   0.173493E+08   0.187695E+08   0.187759E+08   0.186551E+08  -0.448362E+00   0.994996E+07   0.994946E+07   0.671305E+02
   0.270688E-02   0.186585E+08   0.186559E+08   0.340629E+05  -0.638065E+05   0.170336E+08   0.186507E+08   0.186581E+08   0.185555E+08  -0.445523E+00   0.988535E+07   0.988485E+07   0.611138E+02
   0.298873E-02   0.185264E+08   0.185236E+08   0.319484E+05  -0.518985E+05   0.166908E+08   0.185177E+08   0.185260E+08   0.184388E+08  -0.442345E+00   0.981349E+07   0.981299E+07   0.555496E+02
   0.329994E-02   0.183789E+08   0.183759E+08   0.182447E+05  -0.421863E+05   0.163204E+08   0.183691E+08   0.183784E+08   0.183039E+08  -0.438797E+00   0.973364E+07   0.973314E+07   0.501649E+02
   0.364355E-02   0.182144E+08   0.182112E+08   0.988658E+04  -0.342652E+05   0.159219E+08   0.182036E+08   0.182139E+08   0.181500E+08  -0.434845E+00   0.964507E+07   0.964458E+07   0.450489E+02
   0.402293E-02   0.180318E+08   0.180283E+08   0.252526E+04  -0.278064E+05   0.154938E+08   0.180198E+08   0.180313E+08   0.179759E+08  -0.430458E+00   0.954703E+07   0.954654E+07   0.404942E+02
   0.444182E-02   0.178296E+08   0.178258E+08   0.451701E+04  -0.225415E+05   0.150348E+08   0.178164E+08   0.178290E+08   0.177805E+08  -0.425602E+00   0.943878E+07   0.943830E+07   0.366052E+02
   0.490433E-02   0.176066E+08   0.176023E+08   0.100420E+04  -0.182519E+05   0.145458E+08   0.175922E+08   0.176059E+08   0.175629E+08  -0.420246E+00   0.931960E+07   0.931912E+07   0.331408E+02
   0.541499E-02   0.173614E+08   0.173566E+08   0.578773E+03  -0.147590E+05   0.140264E+08   0.173456E+08   0.173606E+08   0.173218E+08  -0.414358E+00   0.918876E+07   0.918828E+07   0.298816E+02
   0.597883E-02   0.170926E+08   0.170872E+08   0.120845E+04  -0.119168E+05   0.134762E+08   0.170755E+08   0.170918E+08   0.170561E+08  -0.407907E+00   0.904554E+07   0.904505E+07   0.269439E+02
   0.660138E-02   0.167993E+08   0.167932E+08   0.261238E+02  -0.960649E+04   0.128638E+08   0.167806E+08   0.167984E+08   0.167650E+08  -0.400865E+00   0.888933E+07   0.888885E+07   0.243997E+02
   0.728875E-02   0.164793E+08   0.164723E+08   0.136973E+03  -0.772963E+04   0.122382E+08   0.164591E+08   0.164782E+08   0.164465E+08  -0.393184E+00   0.871904E+07   0.871856E+07   0.220785E+02
   0.804769E-02   0.161313E+08   0.161232E+08  -0.401410E+03  -0.620671E+04   0.115866E+08   0.161096E+08   0.161300E+08   0.160994E+08  -0.384836E+00   0.853399E+07   0.853351E+07   0.200031E+02
   0.888566E-02   0.157545E+08   0.157452E+08  -0.135025E+04  -0.497267E+04   0.109180E+08   0.157312E+08   0.157530E+08   0.157231E+08  -0.375799E+00   0.833374E+07   0.833326E+07   0.181716E+02
   0.981088E-02   0.153476E+08   0.153368E+08  -0.227502E+03  -0.397410E+04   0.102333E+08   0.153228E+08   0.153459E+08   0.153163E+08  -0.366043E+00   0.811758E+07   0.811710E+07   0.165235E+02
   0.108324E-01   0.149091E+08   0.148966E+08  -0.860323E+03  -0.316725E+04   0.953181E+07   0.148829E+08   0.149071E+08   0.148777E+08  -0.355535E+00   0.788477E+07   0.788428E+07   0.150835E+02
   0.119604E-01   0.144379E+08   0.144233E+08  -0.548921E+03  -0.251640E+04   0.881931E+07   0.144103E+08   0.144356E+08   0.144061E+08  -0.344244E+00   0.763464E+07   0.763415E+07   0.137892E+02
   0.132058E-01   0.139328E+08   0.139160E+08  -0.332040E+03  -0.199239E+04   0.810349E+07   0.139039E+08   0.139302E+08   0.139006E+08  -0.332149E+00   0.736667E+07   0.736617E+07   0.126534E+02
   0.145808E-01   0.133930E+08   0.133736E+08  -0.478914E+03  -0.157139E+04   0.739077E+07   0.133629E+08   0.133900E+08   0.133604E+08  -0.319226E+00   0.708036E+07   0.707985E+07   0.116427E+02
   0.160990E-01   0.128180E+08   0.127956E+08  -0.574192E+03  -0.123397E+04   0.668365E+07   0.127869E+08   0.128145E+08   0.127848E+08  -0.305464E+00   0.677544E+07   0.677492E+07   0.107417E+02
   0.177754E-01   0.122078E+08   0.121821E+08  -0.275624E+03  -0.964293E+03   0.599142E+07   0.121758E+08   0.122038E+08   0.121742E+08  -0.290866E+00   0.645197E+07   0.645144E+07   0.993232E+01
   0.196262E-01   0.115635E+08   0.115342E+08  -0.325844E+03  -0.749464E+03   0.531952E+07   0.115308E+08   0.115589E+08   0.115296E+08  -0.275459E+00   0.611052E+07   0.610998E+07   0.919171E+01
   0.216698E-01   0.108876E+08   0.108545E+08  -0.197860E+03  -0.579007E+03   0.467487E+07   0.108544E+08   0.108824E+08   0.108535E+08  -0.259301E+00   0.575240E+07   0.575184E+07   0.850093E+01
   0.239262E-01   0.101845E+08   0.101477E+08  -0.121262E+03  -0.444409E+03   0.406408E+07   0.101511E+08   0.101787E+08   0.101504E+08  -0.242500E+00   0.537998E+07   0.537942E+07   0.783561E+01
   0.264175E-01   0.946129E+07   0.942095E+07  -0.134874E+03  -0.338754E+03   0.349388E+07   0.942808E+07   0.945495E+07   0.942753E+07  -0.225227E+00   0.499705E+07   0.499648E+07   0.717698E+01
   0.291682E-01   0.872836E+07   0.868506E+07  -0.652592E+02  -0.256422E+03   0.296980E+07   0.869563E+07   0.872155E+07   0.869521E+07  -0.207729E+00   0.460909E+07   0.460852E+07   0.650415E+01
   0.322054E-01   0.799961E+07   0.795429E+07  -0.941940E+02  -0.192831E+03   0.249695E+07   0.796772E+07   0.799249E+07   0.796740E+07  -0.190340E+00   0.422350E+07   0.422294E+07   0.580149E+01
   0.355588E-01   0.729226E+07   0.724630E+07  -0.434810E+02  -0.144231E+03   0.207904E+07   0.726158E+07   0.728504E+07   0.726134E+07  -0.173471E+00   0.384940E+07   0.384886E+07   0.506054E+01
   0.392614E-01   0.662556E+07   0.658075E+07  -0.363248E+02  -0.107526E+03   0.171792E+07   0.659643E+07   0.661852E+07   0.659626E+07  -0.157582E+00   0.349699E+07   0.349648E+07   0.428386E+01
   0.433495E-01   0.601800E+07   0.597637E+07  -0.268386E+02  -0.801404E+02   0.141304E+07   0.599073E+07   0.601146E+07   0.599060E+07  -0.143112E+00   0.317604E+07   0.317559E+07   0.348878E+01
   0.476844E-01   0.550021E+07   0.546355E+07  -0.594092E+02  -0.605550E+02   0.116925E+07   0.547495E+07   0.549445E+07   0.547485E+07  -0.130791E+00   0.290273E+07   0.290234E+07   0.273830E+01
