 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.100323E-06    0.907807E+01    0.121837E-25    0.758299E-24   -0.100000E+01    0.996781E+07    0.340416E-03    0.999660E+00
    0.100647E-06    0.907807E+01    0.243685E-25    0.768141E-24   -0.100000E+01    0.993572E+07    0.341515E-03    0.999658E+00
    0.100972E-06    0.907807E+01    0.365557E-25    0.778111E-24   -0.100000E+01    0.990374E+07    0.342618E-03    0.999657E+00
    0.101298E-06    0.907807E+01    0.487462E-25    0.788211E-24   -0.100000E+01    0.987186E+07    0.343724E-03    0.999656E+00
    0.101625E-06    0.907807E+01    0.609413E-25    0.798441E-24   -0.100000E+01    0.984008E+07    0.344834E-03    0.999655E+00
    0.101953E-06    0.907807E+01    0.731420E-25    0.808805E-24   -0.100000E+01    0.980840E+07    0.345947E-03    0.999654E+00
    0.102283E-06    0.907807E+01    0.853496E-25    0.819302E-24   -0.100000E+01    0.977683E+07    0.347064E-03    0.999653E+00
    0.102613E-06    0.907807E+01    0.975652E-25    0.829936E-24   -0.100000E+01    0.974536E+07    0.348184E-03    0.999652E+00
    0.102944E-06    0.907807E+01    0.109790E-24    0.840709E-24   -0.100000E+01    0.971399E+07    0.349308E-03    0.999651E+00
    0.103277E-06    0.907807E+01    0.122025E-24    0.851620E-24   -0.100000E+01    0.968272E+07    0.350436E-03    0.999650E+00
    0.103610E-06    0.907807E+01    0.134271E-24    0.862674E-24   -0.100000E+01    0.965155E+07    0.351567E-03    0.999648E+00
    0.103945E-06    0.907807E+01    0.146530E-24    0.873871E-24   -0.100000E+01    0.962048E+07    0.352702E-03    0.999647E+00
    0.104281E-06    0.907807E+01    0.158803E-24    0.885213E-24   -0.100000E+01    0.958951E+07    0.353841E-03    0.999646E+00
    0.104617E-06    0.907807E+01    0.171090E-24    0.896703E-24   -0.100000E+01    0.955864E+07    0.354983E-03    0.999645E+00
    0.104955E-06    0.907807E+01    0.183394E-24    0.908342E-24   -0.100000E+01    0.952787E+07    0.356129E-03    0.999644E+00
    0.105294E-06    0.907807E+01    0.195714E-24    0.920131E-24   -0.100000E+01    0.949720E+07    0.357279E-03    0.999643E+00
    0.105634E-06    0.907807E+01    0.208053E-24    0.932074E-24   -0.100000E+01    0.946663E+07    0.358432E-03    0.999642E+00
    0.105975E-06    0.907807E+01    0.220412E-24    0.944172E-24   -0.100000E+01    0.943615E+07    0.359589E-03    0.999640E+00
    0.106318E-06    0.907807E+01    0.232791E-24    0.956427E-24   -0.100000E+01    0.940578E+07    0.360750E-03    0.999639E+00
    0.106661E-06    0.907807E+01    0.245192E-24    0.968841E-24   -0.100000E+01    0.937550E+07    0.361915E-03    0.999638E+00
    0.107005E-06    0.907807E+01    0.257615E-24    0.981416E-24   -0.100000E+01    0.934532E+07    0.363083E-03    0.999637E+00
    0.107351E-06    0.907807E+01    0.270063E-24    0.994154E-24   -0.100000E+01    0.931524E+07    0.364255E-03    0.999636E+00
    0.107698E-06    0.907807E+01    0.282536E-24    0.100706E-23   -0.100000E+01    0.928525E+07    0.365431E-03    0.999635E+00
    0.108046E-06    0.907807E+01    0.295036E-24    0.102013E-23   -0.100000E+01    0.925536E+07    0.366611E-03    0.999633E+00
    0.108394E-06    0.907807E+01    0.307563E-24    0.103337E-23   -0.100000E+01    0.922557E+07    0.367794E-03    0.999632E+00
    0.108744E-06    0.907807E+01    0.320119E-24    0.104678E-23   -0.100000E+01    0.919587E+07    0.368982E-03    0.999631E+00
    0.109096E-06    0.907807E+01    0.332705E-24    0.106037E-23   -0.100000E+01    0.916627E+07    0.370173E-03    0.999630E+00
    0.109448E-06    0.907807E+01    0.345321E-24    0.107413E-23   -0.100000E+01    0.913676E+07    0.371368E-03    0.999629E+00
    0.109801E-06    0.907807E+01    0.357971E-24    0.108807E-23   -0.100000E+01    0.910735E+07    0.372567E-03    0.999627E+00
    0.110156E-06    0.907807E+01    0.370653E-24    0.110219E-23   -0.100000E+01    0.907803E+07    0.373770E-03    0.999626E+00
    0.110512E-06    0.907807E+01    0.383371E-24    0.111650E-23   -0.100000E+01    0.904881E+07    0.374976E-03    0.999625E+00
    0.110869E-06    0.907807E+01    0.396124E-24    0.113099E-23   -0.100000E+01    0.901968E+07    0.376187E-03    0.999624E+00
    0.111227E-06    0.907807E+01    0.408914E-24    0.114567E-23   -0.100000E+01    0.899064E+07    0.377401E-03    0.999623E+00
    0.111586E-06    0.907807E+01    0.421743E-24    0.116054E-23   -0.100000E+01    0.896170E+07    0.378620E-03    0.999621E+00
    0.111946E-06    0.907807E+01    0.434611E-24    0.117560E-23   -0.100000E+01    0.893285E+07    0.379842E-03    0.999620E+00
    0.112308E-06    0.907807E+01    0.447519E-24    0.119086E-23   -0.100000E+01    0.890410E+07    0.381068E-03    0.999619E+00
    0.112671E-06    0.907807E+01    0.460470E-24    0.120632E-23   -0.100000E+01    0.887543E+07    0.382298E-03    0.999618E+00
    0.113034E-06    0.907807E+01    0.473464E-24    0.122198E-23   -0.100000E+01    0.884686E+07    0.383532E-03    0.999616E+00
    0.113399E-06    0.907807E+01    0.486501E-24    0.123784E-23   -0.100000E+01    0.881839E+07    0.384771E-03    0.999615E+00
    0.113766E-06    0.907807E+01    0.499585E-24    0.125390E-23   -0.100000E+01    0.879000E+07    0.386013E-03    0.999614E+00
